datetime,open,high,low,close,volume
2025-04-01,31.62,32.21,31.545,32.0,8700
2025-03-31,31.2,32.273,31.2,31.977,19500
2025-03-28,31.78,31.9,31.46,31.65,11700
2025-03-27,31.76,32.264,31.76,32.14,11900
2025-03-26,31.79,32.045,31.31,31.31,10900
2025-03-25,32.132,32.66,32.01,32.14,7000
2025-03-24,32.06,32.12,31.74,32.0,8600
2025-03-21,32.57,32.57,31.8,32.12,11800
2025-03-20,32.08,32.61,32.0,32.55,16100
2025-03-19,32.95,32.985,32.348,32.88,12000
2025-03-18,33.89,33.89,32.951,33.06,14300
2025-03-17,34.99,35.33,34.41,35.25,23200
2025-03-14,33.82,34.38,33.82,34.18,9500
2025-03-13,33.95,33.95,33.375,33.795,8100
2025-03-12,32.98,33.737,32.98,33.63,18100
2025-03-11,31.9,31.964,31.06,31.964,11000
2025-03-10,31.75,32.27,31.65,31.765,9800
2025-03-07,31.55,31.91,31.16,31.62,9600
2025-03-06,31.96,32.155,31.04,31.44,6800
2025-03-05,31.84,32.398,31.53,32.21,7500
2025-03-04,31.49,31.49,31.102,31.49,12200
2025-03-03,31.95,32.447,31.49,31.49,10400
2025-02-28,32.1,32.1,31.483,31.78,3600
2025-02-27,32.29,32.61,31.76,32.01,7700
2025-02-26,31.48,32.418,31.48,32.2,6000
2025-02-25,31.69,31.69,31.204,31.67,5100
2025-02-24,32.48,32.48,31.825,32.02,5600
2025-02-21,33.51,33.51,32.54,32.61,5600
2025-02-20,33.52,33.52,32.97,33.25,11200
2025-02-19,33.1,34.16,33.1,33.96,18500
2025-02-18,32.82,33.023,32.38,32.88,11400
2025-02-14,32.88,32.88,32.2,32.704,5000
2025-02-13,31.49,32.5,31.49,32.432,8000
2025-02-12,31.5,31.5,31.12,31.48,8800
2025-02-11,31.68,31.93,31.45,31.93,3200
2025-02-10,31.62,32.31,31.62,32.17,4200
2025-02-07,31.77,31.77,31.37,31.37,3200
2025-02-06,31.56,31.84,31.427,31.62,7300
2025-02-05,31.85,32.03,31.45,31.83,11500
2025-02-04,31.23,31.39,30.66,31.27,7500
2025-02-03,30.11,30.97,30.11,30.71,7200
2025-01-31,31.0,31.0,30.57,30.73,7200
2025-01-30,30.584,30.87,30.565,30.85,6600
2025-01-29,29.95,30.88,29.95,30.655,6500
2025-01-28,30.19,30.37,29.75,30.14,9200
2025-01-27,31.11,31.11,30.14,30.48,17700
2025-01-24,32.05,32.08,31.86,31.9,5200
2025-01-23,31.91,32.29,31.645,32.01,16300
2025-01-22,33.12,33.196,32.75,33.1,7800
2025-01-21,33.15,33.61,32.66,33.21,23800
2025-01-17,33.3,33.59,33.03,33.37,23800
2025-01-16,32.77,33.0,32.4,33.0,10200
2025-01-15,32.29,32.74,32.26,32.65,13800
2025-01-14,32.36,32.36,31.64,31.95,11100
2025-01-13,31.59,32.365,31.3,32.36,18100
2025-01-10,31.34,32.07,31.34,31.54,7500
2025-01-08,31.0,31.62,30.81,31.39,8400
2025-01-07,31.5,31.69,31.118,31.38,13900
2025-01-06,31.95,32.02,31.413,31.69,12300
2025-01-03,31.27,31.95,31.147,31.77,41200
2025-01-02,32.41,32.648,31.81,32.24,17600
2024-12-31,32.7,34.33,32.7,34.0,28000
2024-12-30,31.07,32.32,31.01,31.92,15200
2024-12-27,31.9,31.9,31.212,31.56,5200
2024-12-26,30.18,32.18,30.18,32.15,21400
2024-12-24,29.441,30.16,29.441,30.12,3300
2024-12-23,29.6,29.77,29.395,29.75,4200
2024-12-20,29.33,30.2,28.74,29.66,16900
2024-12-19,29.33,29.42,28.89,29.34,9900
2024-12-18,30.01,30.12,29.0,29.41,9400
2024-12-17,30.0,30.01,29.8,29.8,4500
2024-12-16,29.35,30.253,29.35,30.04,5700
2024-12-13,30.0,30.172,29.57,29.63,7700
2024-12-12,30.46,31.26,30.09,30.48,12700
2024-12-11,30.67,30.81,30.395,30.79,20900
2024-12-10,31.16,31.16,30.66,30.75,10100
2024-12-09,30.76,31.198,30.61,31.0,10600
2024-12-06,31.0,31.0,30.62,30.92,9200
2024-12-05,30.27,30.89,30.238,30.73,6400
2024-12-04,30.94,30.94,30.37,30.68,12200
2024-12-03,30.5,31.0,30.35,30.8,18400
2024-12-02,30.48,30.62,30.081,30.29,8500
2024-11-29,29.58,29.86,29.451,29.85,3800
2024-11-27,29.79,29.79,29.21,29.38,7400
2024-11-26,29.71,29.96,29.37,29.5,10300
2024-11-25,29.66,30.01,29.4,29.86,17300
2024-11-22,28.4,29.0,27.921,28.47,4300
2024-11-21,28.66,28.66,27.72,28.26,18100
2024-11-20,28.9,29.24,28.8,29.0,21800
2024-11-19,29.71,30.673,29.71,30.31,21300
2024-11-18,29.162,29.82,29.03,29.7,25700
2024-11-15,29.26,29.43,28.893,28.99,6200
2024-11-14,28.62,29.49,28.62,29.18,8900
2024-11-13,28.68,28.891,28.68,28.891,3400
2024-11-12,28.76,28.85,28.38,28.48,8700
2024-11-11,29.3,29.3,28.59,28.74,5700
2024-11-08,28.859,29.0,28.41,28.578,6100
2024-11-07,28.82,29.04,28.6,28.6,11000
2024-11-06,28.23,28.78,28.23,28.78,12200
2024-11-05,28.08,28.6,28.07,28.23,3400
2024-11-04,28.3,28.437,27.84,28.11,9600
2024-11-01,28.72,28.72,28.1,28.53,7000
2024-10-31,28.37,28.6,27.93,28.58,6900
2024-10-30,27.81,28.34,27.81,28.208,8100
2024-10-29,28.0,28.13,27.88,28.1,7500
2024-10-28,27.66,27.99,26.95,27.8,17700
2024-10-25,27.26,27.26,27.025,27.025,2900
2024-10-24,26.7,27.25,26.7,27.09,3400
2024-10-23,27.48,27.48,26.522,26.75,8200
2024-10-22,27.68,27.8,27.21,27.54,11100
2024-10-21,27.5,27.5,27.03,27.5,12100
2024-10-18,27.01,27.3,26.853,27.25,6800
2024-10-17,27.23,27.35,26.8,26.98,15300
2024-10-16,26.87,26.87,26.51,26.6,7300
2024-10-15,26.6,26.82,26.426,26.58,9100
2024-10-14,26.5,26.61,26.03,26.03,3900
2024-10-11,26.25,26.468,26.115,26.13,3600
2024-10-10,26.08,26.2,26.055,26.12,5000
2024-10-09,26.26,26.76,26.26,26.64,5300
2024-10-08,26.4,26.58,26.376,26.505,2700
2024-10-07,26.86,26.86,26.02,26.39,6300
2024-10-04,27.59,27.59,26.701,26.86,9300
2024-10-03,27.39,27.39,27.009,27.06,5000
2024-10-02,27.5,27.5,27.38,27.4,4700
2024-10-01,28.0,28.0,27.3,27.48,14000
2024-09-30,27.71,28.2,27.59,27.92,14800
2024-09-27,27.85,27.85,27.0,27.185,7000
2024-09-26,27.15,27.85,26.85,27.85,24200
2024-09-25,26.77,27.0,26.7,26.81,9200
2024-09-24,26.48,26.83,26.42,26.72,10400
2024-09-23,25.58,25.89,25.28,25.66,3200
2024-09-20,24.96,24.99,24.8,24.91,11800
2024-09-19,25.35,25.67,24.69,25.28,6400
2024-09-18,24.93,25.08,24.27,24.84,8600
2024-09-17,24.78,25.5,24.49,24.72,19500
2024-09-16,26.15,26.15,25.4,25.6,6000
2024-09-13,25.8,26.01,25.8,26.01,5000
2024-09-12,25.41,25.88,25.41,25.63,4800
2024-09-11,24.68,24.9,24.68,24.9,5000
2024-09-10,24.65,24.968,24.52,24.715,9200
2024-09-09,24.5,24.94,24.42,24.54,9300
2024-09-06,24.9,24.988,24.48,24.48,11000
2024-09-05,25.16,25.16,24.65,24.8,12800
2024-09-04,24.27,25.0,24.27,24.75,11100
2024-09-03,24.87,25.11,24.57,24.57,13700
2024-08-30,25.21,25.603,24.91,25.37,12400
2024-08-29,24.85,25.35,24.85,25.2,11200
2024-08-28,24.54,24.98,24.54,24.61,4600
2024-08-27,24.84,24.84,24.4,24.46,10700
2024-08-26,25.12,25.12,24.68,24.931,9000
2024-08-23,24.79,25.082,24.79,24.93,2700
2024-08-22,24.9,24.9,24.5,24.55,5700
2024-08-21,25.33,25.33,24.9,24.919,10600
2024-08-20,25.04,25.41,24.99,25.11,9900
2024-08-19,25.21,25.58,25.06,25.52,12400
2024-08-16,24.71,24.94,24.38,24.77,4400
2024-08-15,24.74,24.99,24.4,24.77,5700
2024-08-14,24.25,24.7,24.1,24.54,4400
2024-08-13,23.62,24.59,23.62,24.49,4500
2024-08-12,24.01,24.01,23.55,23.67,5800
2024-08-09,24.54,24.9,24.06,24.62,30200
2024-08-08,24.02,24.55,24.02,24.28,5400
2024-08-07,24.13,24.45,23.8,24.04,14200
2024-08-06,23.59,23.753,23.43,23.5,4800
2024-08-05,23.5,23.78,23.31,23.78,8800
2024-08-02,23.99,24.1,23.63,23.92,9600
2024-08-01,24.77,24.94,24.15,24.38,10900
2024-07-31,25.22,25.68,25.22,25.61,19400
2024-07-30,24.43,24.43,23.58,24.02,7900
2024-07-29,25.26,25.26,24.395,24.48,33800
2024-07-26,25.7,26.49,25.59,25.79,10900
2024-07-25,26.64,26.69,25.68,26.23,5600
2024-07-24,26.7,26.76,26.46,26.64,9600
2024-07-23,26.43,26.75,26.17,26.37,17600
2024-07-22,26.05,26.05,25.477,25.92,9000
2024-07-19,26.01,26.01,25.7,25.71,1200
2024-07-18,26.2,26.21,25.65,25.65,8400
2024-07-17,25.68,25.907,25.3,25.88,14400
2024-07-16,25.68,26.1,25.55,25.82,9500
2024-07-15,25.79,25.79,24.97,25.15,7000
2024-07-12,26.2,26.262,25.775,26.14,14800
2024-07-11,25.8,26.2,25.79,26.09,17000
2024-07-10,25.544,25.67,25.388,25.66,3200
2024-07-09,25.29,25.55,25.095,25.24,8300
2024-07-08,25.6,25.6,25.31,25.49,19900
2024-07-05,25.3,25.58,24.79,25.49,29300
