datetime,open,high,low,close,volume
2025-04-01,88.79,89.59,88.21,88.49,7059400
2025-03-31,87.0,90.31,86.93,89.86,8241100
2025-03-28,87.85,88.38,87.23,87.63,6320200
2025-03-27,88.66,89.45,88.0,88.98,7340100
2025-03-26,88.63,89.16,88.02,88.23,7460400
2025-03-25,90.28,90.5,87.52,88.59,8819800
2025-03-24,90.69,90.84,89.7,90.13,5420400
2025-03-21,90.56,90.84,89.63,90.33,14027600
2025-03-20,92.0,92.0,90.29,91.22,10469600
2025-03-19,92.26,92.82,91.14,91.87,11665200
2025-03-18,93.67,93.72,91.74,92.21,12259300
2025-03-17,93.07,93.68,92.82,93.35,8099200
2025-03-14,92.31,93.3,92.12,93.07,7788600
2025-03-13,91.77,92.74,91.56,92.33,6737600
2025-03-12,92.89,93.0,90.35,91.51,6301000
2025-03-11,93.4,93.94,92.67,93.28,7457600
2025-03-10,94.58,96.25,93.55,93.8,10771700
2025-03-07,92.6,95.03,92.44,94.5,7795900
2025-03-06,93.74,93.98,92.09,93.13,5339800
2025-03-05,93.59,94.73,93.27,94.06,5820600
2025-03-04,94.75,95.57,92.95,93.03,7644300
2025-03-03,92.67,94.93,92.3,94.3,9306100
2025-02-28,91.55,92.4,90.3,92.02,7685300
2025-02-27,90.3,91.28,90.1,90.74,4735900
2025-02-26,90.46,91.19,90.0,90.58,5108500
2025-02-25,90.36,90.85,89.22,90.48,6290300
2025-02-24,89.54,91.07,89.12,90.17,7158500
2025-02-21,87.64,91.15,87.58,89.94,11763000
2025-02-20,86.77,88.27,86.35,87.94,5804300
2025-02-19,86.0,87.17,85.7,87.0,8972100
2025-02-18,87.96,88.44,85.06,86.07,14516700
2025-02-14,92.42,93.05,91.86,92.81,10855400
2025-02-13,91.27,92.48,90.87,92.2,5991000
2025-02-12,90.6,91.64,89.91,91.35,7053200
2025-02-11,90.84,91.47,90.5,91.2,6534800
2025-02-10,90.29,90.94,90.01,90.84,5029300
2025-02-07,91.12,91.17,89.55,90.01,6349400
2025-02-06,91.26,91.94,90.76,90.82,4509300
2025-02-05,91.27,92.07,90.68,91.69,5181100
2025-02-04,89.86,91.11,89.7,90.97,5196300
2025-02-03,90.27,91.21,89.25,90.53,5800300
2025-01-31,91.72,92.1,90.65,90.82,7216800
2025-01-30,91.72,92.82,91.46,91.99,5101600
2025-01-29,92.53,92.98,91.36,91.41,5514700
2025-01-28,92.46,93.08,91.67,91.98,7961100
2025-01-27,90.66,92.48,90.35,92.46,9164300
2025-01-24,89.11,90.3,88.82,90.19,7349500
2025-01-23,87.87,89.33,87.8,89.25,5694300
2025-01-22,88.24,88.46,87.42,87.84,5222900
2025-01-21,88.45,88.7,87.77,88.38,8376600
2025-01-17,87.25,88.63,87.05,88.08,9578900
2025-01-16,85.43,87.22,85.03,87.16,7267500
2025-01-15,83.92,85.89,83.92,85.4,12261100
2025-01-14,83.39,85.31,83.11,85.25,13399700
2025-01-13,80.91,82.12,80.01,81.79,6487700
2025-01-10,82.0,82.49,80.51,80.66,7068200
2025-01-08,80.41,83.22,80.35,82.68,11153800
2025-01-07,80.37,81.07,79.74,79.87,7363100
2025-01-06,80.52,81.14,79.66,79.84,7886200
