datetime,open,high,low,close,volume
2025-04-01,0.483,0.509,0.461,0.494,155600
2025-03-31,0.52,0.525,0.454,0.466,293800
2025-03-28,0.543,0.55,0.52,0.53,161000
2025-03-27,0.582,0.582,0.53,0.55,201600
2025-03-26,0.6,0.602,0.54,0.582,247900
2025-03-25,0.61,0.625,0.591,0.61,91600
2025-03-24,0.599,0.62,0.592,0.615,137400
2025-03-21,0.641,0.66,0.594,0.623,565900
2025-03-20,0.631,0.69,0.625,0.662,271200
2025-03-19,0.637,0.641,0.62,0.629,66600
2025-03-18,0.63,0.656,0.61,0.626,152700
2025-03-17,0.69,0.7,0.645,0.656,161500
2025-03-14,0.615,0.629,0.61,0.623,121700
2025-03-13,0.677,0.677,0.616,0.626,60800
2025-03-12,0.629,0.67,0.615,0.651,108300
2025-03-11,0.64,0.663,0.61,0.627,104700
2025-03-10,0.7,0.72,0.63,0.639,189300
2025-03-07,0.665,0.696,0.665,0.685,84600
2025-03-06,0.709,0.715,0.66,0.68,170200
2025-03-05,0.677,0.73,0.67,0.701,97000
2025-03-04,0.7,0.702,0.66,0.697,236600
2025-03-03,0.73,0.748,0.71,0.71,115600
2025-02-28,0.75,0.75,0.705,0.73,139000
2025-02-27,0.812,0.84,0.762,0.78,240500
2025-02-26,0.745,0.84,0.745,0.824,377000
2025-02-25,0.721,0.781,0.7,0.739,273200
2025-02-24,0.78,0.78,0.72,0.74,318500
2025-02-21,0.73,0.74,0.705,0.725,219900
2025-02-20,0.729,0.748,0.7,0.717,242600
2025-02-19,0.73,0.75,0.716,0.732,167300
2025-02-18,0.725,0.749,0.705,0.723,322500
2025-02-14,0.761,0.786,0.72,0.745,285000
2025-02-13,0.76,0.8,0.76,0.78,191700
2025-02-12,0.76,0.799,0.76,0.77,315100
2025-02-11,0.761,0.784,0.755,0.775,171700
2025-02-10,0.79,0.804,0.76,0.775,340500
2025-02-07,0.801,0.891,0.785,0.799,554000
2025-02-06,0.78,0.87,0.772,0.809,602100
2025-02-05,0.799,0.83,0.781,0.793,295100
2025-02-04,0.842,0.877,0.769,0.81,348400
2025-02-03,0.826,0.86,0.8,0.856,303900
2025-01-31,0.918,0.95,0.771,0.885,525400
2025-01-30,0.928,1.0,0.922,0.935,291800
2025-01-29,0.944,1.04,0.92,0.943,460500
2025-01-28,1.03,1.05,0.939,0.954,736700
2025-01-27,1.11,1.11,1.01,1.03,922200
2025-01-24,1.1,1.13,1.08,1.09,384400
2025-01-23,1.14,1.14,1.09,1.12,308500
2025-01-22,1.14,1.17,1.115,1.12,323700
2025-01-21,1.1,1.2,1.095,1.14,549800
2025-01-17,1.2,1.2,1.1,1.11,392700
2025-01-16,1.2,1.2,1.16,1.19,271500
2025-01-15,1.16,1.19,1.13,1.18,314400
2025-01-14,1.08,1.14,1.03,1.14,445800
2025-01-13,1.16,1.192,1.08,1.09,871500
2025-01-10,1.19,1.309,1.161,1.19,614400
2025-01-08,1.3,1.35,1.19,1.2,774400
2025-01-07,1.36,1.4,1.3,1.32,877700
2025-01-06,1.53,1.53,1.33,1.34,1007400
2025-01-03,1.46,1.53,1.42,1.485,819400
2025-01-02,1.43,1.6,1.41,1.46,979100
2024-12-31,1.56,1.59,1.39,1.41,1174100
2024-12-30,1.68,1.68,1.49,1.6,2355500
2024-12-27,1.45,1.85,1.38,1.58,5892300
2024-12-26,1.25,1.55,1.25,1.44,1951000
2024-12-24,1.3,1.33,1.21,1.32,670500
2024-12-23,1.18,1.33,1.15,1.27,1049700
2024-12-20,1.13,1.268,1.13,1.19,838100
2024-12-19,1.09,1.4,1.061,1.22,4183500
2024-12-18,1.13,1.23,1.05,1.07,1471700
2024-12-17,1.2,1.22,1.11,1.14,1779700
2024-12-16,1.28,1.3,1.03,1.28,1432400
2024-12-13,1.37,1.395,1.28,1.33,1116700
2024-12-12,1.39,1.435,1.35,1.39,1141300
2024-12-11,1.47,1.5,1.356,1.46,1643300
2024-12-10,1.51,1.57,1.44,1.51,1811700
2024-12-09,1.61,1.66,1.47,1.55,2609800
2024-12-06,1.63,1.95,1.53,1.66,15101200
2024-12-05,1.52,1.578,1.31,1.335,8054000
2024-12-04,1.75,1.81,1.51,1.58,2639000
2024-12-03,1.9,1.94,1.52,1.79,4307600
2024-12-02,2.17,2.25,2.02,2.08,6530900
2024-11-29,2.41,2.54,1.95,2.38,42552700
2024-11-27,15.0,15.3732,1.35,1.65,20192540
2024-11-26,20.0,22.95,17.99,20.95,625709
2024-11-25,12.55,14.44,10.3,10.54,622600
2024-11-22,10.3,12.8,9.5,12.26,303100
2024-11-21,10.19,10.35,9.685,10.18,47600
2024-11-20,10.78,10.78,9.12,9.98,53900
2024-11-19,10.6,11.222,9.85,10.35,54600
2024-11-18,10.97,10.97,9.85,10.208,59500
2024-11-15,11.85,12.434,10.16,10.44,67800
2024-11-14,12.21,12.75,10.488,12.146,168800
2024-11-13,12.59,12.88,11.75,11.75,99600
2024-11-12,13.0,13.48,12.54,13.02,48800
2024-11-11,12.86,13.9,11.62,13.38,62100
2024-11-08,13.65,14.59,12.57,13.0,56300
2024-11-07,13.95,15.018,13.034,13.7,75200
2024-11-06,14.11,14.43,13.47,13.93,38900
2024-11-05,13.9,14.85,12.563,13.9,94800
2024-11-04,14.2,15.0,13.08,14.04,82300
2024-11-01,14.48,14.65,13.225,14.4,56200
2024-10-31,13.9,14.86,11.551,14.34,119900
2024-10-30,13.0,14.86,12.77,14.0,156700
2024-10-29,13.82,16.75,10.0,13.8,372700
2024-10-28,21.0,22.5,18.47,19.1,224000
2024-10-25,18.0,20.88,17.4,20.64,237200
2024-10-24,18.06,18.3,17.3,17.81,89600
2024-10-23,16.81,18.36,16.6,18.05,177700
2024-10-22,16.74,18.0,15.5,16.98,130000
2024-10-21,15.69,17.73,15.641,16.74,120100
2024-10-18,12.7,15.7,12.7,15.69,97300
2024-10-17,11.9,12.99,11.85,12.53,69800
2024-10-16,12.14,12.67,11.0,12.0,64900
2024-10-15,9.6,11.95,9.6,11.71,131000
2024-10-14,9.07,10.49,9.07,9.6,98400
2024-10-11,8.8,10.096,8.68,9.08,128700
2024-10-10,8.81,9.49,8.51,8.91,98100
2024-10-09,9.31,9.976,8.49,9.24,138300
2024-10-08,11.15,11.15,8.78,8.99,113300
2024-10-07,11.5,11.83,10.27,10.5,73800
2024-10-04,12.48,13.104,11.051,11.99,139800
2024-10-03,14.01,15.75,11.48,12.45,158100
2024-10-02,14.98,15.02,13.325,13.46,86800
2024-10-01,16.21,16.49,14.62,15.08,106700
2024-09-30,17.26,17.535,15.5,15.73,96200
2024-09-27,15.47,20.0,14.55,18.55,182200
2024-09-26,16.55,17.9,14.146,15.39,131900
2024-09-25,18.59,18.59,16.01,16.27,107200
2024-09-24,17.21,19.9,17.2,18.41,198500
2024-09-23,16.31,18.81,16.31,17.29,181700
2024-09-20,15.8,17.46,15.7,16.76,141900
