datetime,open,high,low,close,volume
2025-04-01,59.85,62.28,59.49,62.25,5152724
2025-03-31,57.77,60.31,57.65,59.88,4629303
2025-03-28,58.17,58.41,56.84,58.34,4376519
2025-03-27,56.88,58.56,56.57,58.5,3956808
2025-03-26,57.47,57.96,56.59,57.03,1516535
2025-03-25,57.44,58.19,57.0,57.5,3832078
2025-03-24,56.87,58.04,56.6,57.6,3953469
2025-03-21,56.74,57.36,55.26,55.87,9117847
2025-03-20,56.09,58.68,55.82,57.42,4670949
2025-03-19,53.765,56.44,53.765,56.2,3454411
2025-03-18,56.15,56.54,54.73,55.0,5129976
2025-03-17,55.31,57.11,54.72,56.41,3129752
2025-03-14,55.6,55.9,54.64,55.31,3024537
2025-03-13,55.86,56.41,54.56,54.94,5880949
2025-03-12,56.68,56.91,55.67,56.15,3321179
2025-03-11,55.44,56.98,55.06,55.92,4473103
2025-03-10,57.115,57.115,54.6,55.33,5603784
2025-03-07,58.38,58.5,55.27,57.17,4401788
2025-03-06,61.35,62.02,58.61,58.63,4646949
2025-03-05,62.05,62.73,61.2,62.19,2913657
2025-03-04,61.61,62.89,59.81,61.79,3404345
2025-03-03,63.86,64.17,62.02,62.51,3304379
2025-02-28,63.39,64.32,62.23,63.88,2660216
2025-02-27,64.59,65.38,62.88,62.94,2146022
2025-02-26,65.33,66.0,64.48,64.57,2515680
2025-02-25,64.17,65.635,63.87,65.13,3143225
2025-02-24,63.35,64.98,63.35,63.88,3617025
2025-02-21,63.88,66.09,62.85,63.3,2979439
2025-02-20,65.48,68.98,64.88,65.23,2565816
2025-02-19,68.98,68.98,66.29,66.8,4392226
2025-02-18,67.3827,69.87,67.3827,69.15,1578562
2025-02-14,68.96,69.55,68.3,68.78,2993276
2025-02-13,66.59,68.48,66.29,68.44,2773873
2025-02-12,65.04,66.55,64.71,66.5,2391214
2025-02-11,65.93,66.765,65.39,66.58,4070319
2025-02-10,64.44,64.93,64.09,64.75,2209331
2025-02-07,65.26,65.6,64.21,64.44,2275720
2025-02-06,66.56,66.88,65.0,65.26,3086718
2025-02-05,65.46,66.69,63.853,66.51,4493585
2025-02-04,66.5,67.455,64.43,64.79,5932664
2025-02-03,65.63,68.53,65.15,66.92,8485222
2025-01-31,64.02,64.49,62.98,63.14,2068051
2025-01-30,62.43,64.65,62.43,64.37,2937648
2025-01-29,61.88,62.87,60.58,62.03,2920566
2025-01-28,59.5,61.14,59.28,60.62,3700413
2025-01-27,59.67,60.6783,59.27,59.66,1787182
2025-01-24,60.24,60.25,59.3,60.07,1952834
2025-01-23,60.41,60.41,59.36,60.26,1329267
2025-01-22,61.46,61.6,60.39,60.65,1237781
2025-01-21,59.945,61.28,59.67,61.11,1542983
2025-01-17,59.94,60.16,59.45,59.6,1178745
2025-01-16,57.9,59.6014,57.665,59.54,1796882
2025-01-15,57.8,58.23,57.35,57.64,1171923
2025-01-14,56.07,57.02,56.05,56.7,1181638
2025-01-13,54.82,56.07,54.65,56.07,1138480
2025-01-10,54.51,55.77,54.51,55.14,1022400
2025-01-08,54.34,55.27,53.54,55.12,762274
2025-01-07,55.64,55.8698,54.42,54.98,1071044
2025-01-06,56.05,56.78,55.355,55.5,1110076
2025-01-03,56.09,56.33,55.36,55.74,1060513
2025-01-02,56.91,57.185,55.77,55.82,1449047
2024-12-31,57.15,57.55,56.64,56.69,1366989
2024-12-30,54.61,57.26,54.23,56.98,2271837
2024-12-27,55.42,55.87,54.63,55.03,669809
2024-12-26,55.63,56.05,55.17,55.83,765200
2024-12-24,55.83,56.08,55.31,56.01,254264
2024-12-23,55.3,55.7,54.9,55.53,1038036
2024-12-20,55.03,56.06,54.88,55.44,3346300
2024-12-19,55.15,55.92,54.78,55.03,1884566
2024-12-18,57.0,57.675,55.07,55.07,1804522
2024-12-17,56.77,57.06,55.97,56.95,1446884
2024-12-16,57.74,58.12,57.05,57.18,1168933
2024-12-13,56.75,57.99,56.685,57.86,1703692
2024-12-12,55.32,57.15,55.18,56.71,1839879
2024-12-11,55.7,55.81,55.245,55.47,1248413
2024-12-10,55.4,55.739,54.21,55.28,1681287
2024-12-09,55.03,55.7,54.85,55.47,1808509
2024-12-06,55.91,55.99,54.74,55.01,1063866
2024-12-05,56.1,56.1,54.94,55.23,1207488
2024-12-04,55.85,56.12,55.47,56.0,938505
2024-12-03,56.49,56.77,55.51,56.24,1735261
2024-12-02,56.08,56.56,55.58,56.12,1973117
2024-11-29,56.235,56.31,55.51,55.98,887334
2024-11-27,56.55,57.105,55.61,55.81,1259537
2024-11-26,57.31,57.37,55.94,56.03,1899649
2024-11-25,55.56,58.435,55.56,57.86,2034112
2024-11-22,54.76,55.34,54.67,54.74,1639989
2024-11-21,53.64,54.48,53.11,54.4,955296
2024-11-20,53.35,53.84,53.05,53.51,1091501
2024-11-19,53.47,53.755,52.71,53.58,1021124
2024-11-18,54.02,54.69,53.85,54.25,1189108
2024-11-15,54.99,55.21,54.05,54.14,1170419
2024-11-14,55.33,55.67,54.51,54.92,939009
2024-11-13,56.12,56.34,54.97,55.32,1431407
2024-11-12,55.9,56.03,55.245,55.68,1368692
2024-11-11,55.015,56.16,54.65,55.86,1470280
2024-11-08,53.54,54.76,53.19,54.42,2033583
2024-11-07,53.44,56.36,52.9,54.0,4021259
2024-11-06,51.5,51.8,49.23,49.87,2897370
2024-11-05,48.13,49.57,48.13,49.55,1306237
2024-11-04,47.77,48.49,47.5,48.37,1534940
2024-11-01,48.12,48.665,47.48,47.83,1602759
2024-10-31,48.5,48.79,47.9,47.91,1631421
2024-10-30,49.31,49.8,48.82,48.85,1103853
2024-10-29,48.22,49.68,48.14,49.37,1688516
2024-10-28,47.96,49.54,47.96,49.43,2572705
2024-10-25,48.04,48.52,47.46,47.66,910052
2024-10-24,48.38,48.38,47.7,48.06,852444
2024-10-23,48.75,48.96,47.835,48.14,1066450
2024-10-22,49.38,49.38,48.45,48.89,1543558
2024-10-21,50.47,50.62,49.44,49.82,1394610
2024-10-18,50.59,50.785,50.32,50.62,949066
2024-10-17,50.89,51.12,50.12,50.42,968523
2024-10-16,50.76,51.21,50.55,50.68,895096
2024-10-15,50.51,51.35,50.44,50.47,990944
2024-10-14,50.68,50.8,50.0,50.61,1158191
2024-10-11,51.13,51.512,50.42,50.64,1886069
2024-10-10,51.02,51.22,50.43,51.2,1173014
2024-10-09,52.17,52.35,51.34,51.56,787806
2024-10-08,51.72,52.36,51.67,52.01,992882
2024-10-07,52.5,52.5,51.61,52.24,732378
2024-10-04,54.11,54.22,52.68,53.02,1606331
2024-10-03,53.61,53.88,53.06,53.3,1080371
2024-10-02,54.06,54.78,53.67,54.06,911213
2024-10-01,54.42,54.93,53.74,54.61,1040397
2024-09-30,54.535,54.79,54.09,54.6,1411956
2024-09-27,54.58,55.36,54.11,54.78,1241253
2024-09-26,54.36,54.48,53.81,54.05,1686403
2024-09-25,54.0,54.0,53.38,53.69,681368
2024-09-24,54.39,54.66,53.425,54.0,1161485
2024-09-23,54.21,54.26,53.5,54.15,1205880
2024-09-20,54.45,54.45,53.61,53.77,1933895
2024-09-19,54.39,54.91,53.53,54.69,1237625
2024-09-18,52.91,54.5,52.32,52.97,865938
2024-09-17,51.8,53.09,51.64,52.87,1575611
2024-09-16,51.58,52.05,50.85,51.57,1314615
2024-09-13,49.51,51.91,49.51,51.43,1829667
2024-09-12,48.61,49.58,48.23,49.17,779614
2024-09-11,48.05,48.78,47.25,48.63,1127516
2024-09-10,48.54,48.885,47.74,48.38,1278112
2024-09-09,49.56,49.68,48.751,48.8,1065670
2024-09-06,50.15,50.31,49.365,49.52,826448
2024-09-05,50.53,50.83,49.82,50.14,890842
2024-09-04,50.4,50.9,49.77,50.54,1140400
2024-09-03,52.02,52.45,51.07,51.4,1100139
2024-08-30,52.26,52.63,51.41,52.43,861505
2024-08-29,51.65,52.7,51.19,51.77,565730
2024-08-28,51.59,52.08,51.31,51.39,466113
2024-08-27,52.17,52.22,51.67,52.0,500829
2024-08-26,53.04,53.39,52.39,52.49,751540
2024-08-23,51.43,53.075,50.93,52.69,1210868
2024-08-22,51.87,51.9529,50.89,51.1,728938
2024-08-21,51.03,51.86,50.89,51.79,695360
2024-08-20,50.58,51.05,50.1,50.41,740934
2024-08-19,51.0,51.83,50.405,50.74,1115854
2024-08-16,51.63,52.02,50.69,50.9,1096377
2024-08-15,51.32,52.14,50.85,51.6,1460506
2024-08-14,50.75,50.93,50.135,50.24,817430
2024-08-13,49.66,50.965,49.4,50.61,2045133
2024-08-12,50.18,50.18,49.26,49.4,1167586
2024-08-09,49.77,50.095,49.34,49.87,1071470
2024-08-08,48.52,50.17,48.23,49.6,2067399
2024-08-07,48.5,49.44,47.745,47.8,2116935
2024-08-06,45.79,49.53,45.58,48.23,3528449
2024-08-05,47.0,49.12,46.5,48.6,2972658
2024-08-02,49.6,49.91,48.38,49.01,2018431
2024-08-01,52.49,52.97,50.32,51.01,1655482
2024-07-31,52.25,53.54,51.32,52.35,1417352
2024-07-30,52.26,52.7,51.61,51.99,1002629
2024-07-29,52.46,52.59,51.71,52.1,1338426
2024-07-26,52.0,52.55,51.67,52.31,1220753
2024-07-25,50.2,51.85,49.71,50.99,1432919
2024-07-24,51.38,51.665,50.15,50.2,838529
2024-07-23,51.11,52.35,50.83,51.67,1178956
2024-07-22,51.75,51.77,50.62,51.3,1413711
2024-07-19,51.98,52.26,51.19,51.58,1410349
2024-07-18,53.55,54.345,51.63,51.98,2673896
2024-07-17,52.99,54.23,52.83,53.55,2584623
2024-07-16,50.12,53.51,50.01,53.49,1966236
2024-07-15,49.96,50.24,49.26,49.7,1540442
2024-07-12,49.24,50.68,49.0,49.81,2074417
2024-07-11,47.89,48.85,47.89,48.84,4838092
2024-07-10,46.17,46.7682,45.91,46.67,1406630
2024-07-09,47.03,47.41,45.8,45.89,1926030
2024-07-08,45.61,47.65,45.61,47.45,2817108
2024-07-05,46.69,47.09,45.04,45.22,2757826
2024-07-03,48.2,48.27,46.7,46.77,1352584
2024-07-02,46.82,48.55,46.56,48.32,2704036
2024-07-01,47.17,47.78,46.56,47.21,1800897
2024-06-28,46.25,47.61,46.25,47.34,6294949
2024-06-27,46.23,46.57,45.74,45.98,2081742
2024-06-26,46.83,47.56,46.15,46.2,1673549
2024-06-25,48.71,48.89,46.94,46.99,1510233
2024-06-24,48.57,49.35,48.22,48.85,1122363
2024-06-21,48.47,48.62,47.44,48.59,3217825
2024-06-20,47.59,48.67,47.41,48.27,1349080
2024-06-18,48.27,48.72,47.5,47.67,1214932
2024-06-17,47.75,48.43,47.75,48.21,2339427
2024-06-14,48.91,48.955,47.795,48.33,1526205
2024-06-13,49.88,50.15,49.5,49.72,1179790
2024-06-12,50.24,51.16,49.985,50.07,1681937
2024-06-11,48.45,49.0,47.74,48.42,1354935
2024-06-10,48.79,49.15,48.5,48.85,1190375
2024-06-07,48.62,49.69,48.55,49.04,1011065
2024-06-06,50.64,50.7,49.24,49.41,1093481
2024-06-05,50.42,50.63,49.98,50.61,917786
2024-06-04,50.34,51.01,50.065,50.22,1881297
2024-06-03,51.62,51.72,50.78,51.21,1112506
2024-05-31,51.01,51.4,50.43,51.36,1498488
2024-05-30,50.07,50.8,49.93,50.51,1092972
2024-05-29,49.0,50.02,48.985,49.78,1399756
2024-05-28,50.14,50.49,49.18,49.61,1135498
2024-05-24,49.9,50.49,49.72,49.85,913650
2024-05-23,51.23,51.23,49.37,49.54,1427054
2024-05-22,52.14,52.42,50.93,50.98,1576480
2024-05-21,52.82,52.82,52.27,52.55,708472
2024-05-20,52.99,53.1,52.54,52.88,674386
2024-05-17,52.6,53.23,52.23,53.04,1404651
2024-05-16,53.69,53.69,52.5,52.51,1413156
