datetime,open,high,low,close,volume
2025-04-01,6.92,7.13,6.762,6.94,5400
2025-03-31,6.72,7.138,6.55,6.82,10700
2025-03-28,7.02,7.15,6.75,6.81,24800
2025-03-27,7.0,7.125,6.885,7.03,16700
2025-03-26,7.1,7.205,6.831,7.06,28800
2025-03-25,7.1,7.1,6.9,7.03,13700
2025-03-24,7.1,7.1,6.91,7.1,16600
2025-03-21,7.02,7.11,6.75,7.02,55800
2025-03-20,7.34,7.34,6.67,6.94,16200
2025-03-19,7.49,7.49,6.7,7.0,37400
2025-03-18,7.4,7.51,7.252,7.34,8500
2025-03-17,7.27,7.29,7.01,7.18,26100
2025-03-14,7.17,7.436,7.05,7.15,17300
2025-03-13,7.15,7.45,7.01,7.22,33400
2025-03-12,7.38,7.414,7.05,7.095,29700
2025-03-11,7.22,7.75,7.0,7.09,29900
2025-03-10,7.77,7.95,7.03,7.15,32300
2025-03-07,7.38,7.73,7.3,7.72,13500
2025-03-06,7.75,8.109,7.26,7.27,14200
2025-03-05,7.941,7.941,7.65,7.75,8100
2025-03-04,7.69,8.03,7.543,7.69,50600
2025-03-03,8.12,8.515,7.51,7.69,37900
2025-02-28,8.4,8.4,7.6,8.24,41800
2025-02-27,8.75,8.75,8.27,8.37,27900
2025-02-26,8.4,8.72,8.1,8.1,27000
2025-02-25,8.37,8.5,8.043,8.21,25100
2025-02-24,8.51,8.942,8.25,8.4,21700
2025-02-21,8.2,8.68,7.9,8.4,52000
2025-02-20,9.26,9.27,8.05,8.12,62100
2025-02-19,9.74,9.82,9.29,9.3,22000
2025-02-18,9.96,10.07,9.53,9.75,21100
2025-02-14,10.75,10.75,9.59,9.95,25200
2025-02-13,10.4,10.64,10.281,10.36,22700
2025-02-12,9.9,10.74,9.58,10.36,34900
2025-02-11,9.5,10.54,9.31,9.92,57500
2025-02-10,9.64,9.912,9.0,9.58,47200
2025-02-07,9.65,10.0,9.16,9.5,70900
2025-02-06,11.0,11.0,9.12,9.48,156200
2025-02-05,11.51,11.51,10.825,10.95,64300
2025-02-04,14.0,14.1,10.41,11.37,269600
2025-02-03,15.34,15.4,14.01,14.01,124400
2025-01-31,18.19,18.19,14.8,14.95,146500
2025-01-30,17.45,19.04,16.0,17.1,132600
2025-01-29,18.0,20.35,14.25,17.1,19300
