datetime,open,high,low,close,volume
2025-04-01,18.15,18.15,16.9,17.944,5300
2025-03-31,18.1,18.1,17.75,17.87,2600
2025-03-28,18.425,18.425,18.425,18.425,600
2025-03-27,18.88,19.24,18.408,19.114,4600
2025-03-26,18.79,19.25,18.0,19.25,2400
2025-03-25,18.0,18.15,17.85,17.85,4400
2025-03-24,18.5,18.5,18.4,18.4,1400
2025-03-21,18.295,18.295,18.12,18.12,1000
2025-03-20,18.5,18.525,17.7,18.5,6700
2025-03-19,18.805,19.0,17.9,17.9,10500
2025-03-18,18.6,18.8,18.25,18.25,7100
2025-03-17,19.0,19.74,18.8,18.91,3300
2025-03-14,18.9,18.9,18.9,18.9,54
2025-03-13,18.9,18.9,18.9,18.9,400
2025-03-12,18.75,19.2,18.55,18.7,4100
2025-03-11,18.0,19.4,18.0,18.53,12300
2025-03-10,19.8,20.8,17.91,17.91,30100
2025-03-07,20.49,21.1,19.6,20.25,32000
2025-03-06,20.49,21.4,20.0,20.29,48100
2025-03-05,19.75,20.3,19.5,20.3,15000
2025-03-04,20.0,20.26,19.83,20.055,11700
2025-03-03,20.5,21.0,20.0,20.0,12300
2025-02-28,20.6,20.6,20.21,20.34,1800
2025-02-27,20.34,21.3,20.34,20.49,7200
2025-02-26,20.84,21.455,20.603,20.603,8900
2025-02-25,20.2,20.85,20.2,20.561,14800
2025-02-24,20.53,20.95,20.44,20.537,25300
2025-02-21,20.49,20.6,19.93,20.2,28100
2025-02-20,20.82,21.01,19.89,19.89,17800
2025-02-19,21.11,21.5,21.01,21.01,12200
2025-02-18,21.13,22.5,21.13,21.22,16900
2025-02-14,21.5,22.0,21.5,21.55,18700
2025-02-13,20.99,22.4,20.75,22.13,24800
2025-02-12,22.4,22.4,20.84,21.31,12600
2025-02-11,21.893,22.05,21.62,21.78,20100
2025-02-10,21.51,22.12,21.04,22.04,4400
2025-02-07,22.71,23.212,21.36,21.36,7000
2025-02-06,22.4,22.6,22.4,22.6,10300
2025-02-05,21.4,21.4,20.85,20.923,4200
2025-02-04,20.43,21.4,20.43,21.32,9900
2025-02-03,20.76,21.04,20.0,21.0,5800
2025-01-31,21.2,21.804,20.81,21.3,11000
2025-01-30,22.95,23.27,21.56,21.95,34400
2025-01-29,22.0,23.6,21.99,23.27,27000
2025-01-28,21.87,22.4,21.52,21.52,15400
2025-01-27,22.64,22.905,21.65,22.37,43500
2025-01-24,22.6,24.73,22.45,23.8,24600
2025-01-23,23.32,23.484,21.7,22.95,68500
2025-01-22,21.8,22.99,20.15,21.68,59700
2025-01-21,21.79,24.6,21.71,22.05,99900
2025-01-17,19.91,22.58,19.34,22.58,45600
2025-01-16,19.8,20.3,18.81,19.63,55500
2025-01-15,19.948,20.39,19.22,19.6,34500
2025-01-14,20.81,22.33,19.55,19.81,117400
2025-01-13,19.02,21.79,19.02,21.79,46000
2025-01-10,20.6,20.99,18.98,19.02,116600
2025-01-08,20.9,22.58,18.68,19.5,48300
2025-01-07,22.87,22.87,19.99,19.99,84000
2025-01-06,24.6,25.1,22.05,22.05,136700
2025-01-03,24.9,27.0,22.365,23.23,98000
2025-01-02,21.785,25.44,21.785,25.1,139800
2024-12-31,20.11,23.0,20.06,21.8,37600
2024-12-30,19.3,19.795,19.3,19.56,5900
2024-12-27,19.73,19.84,19.0,19.3,41000
2024-12-26,21.01,21.01,19.19,20.1,28800
2024-12-24,21.51,21.6,21.26,21.34,3800
2024-12-23,24.09,24.6,21.69,22.0,58100
2024-12-20,22.419,23.466,22.23,23.1,25500
2024-12-19,21.9,24.9,21.0,22.19,13700
2024-12-18,25.0,26.0,22.01,22.22,26700
2024-12-17,22.88,25.3,22.88,25.3,39700
2024-12-16,26.0,27.0,24.65,24.65,39100
2024-12-13,23.95,25.95,23.48,25.23,34100
2024-12-12,23.86,25.21,23.86,24.31,86800
2024-12-11,25.65,26.97,23.77,24.64,25300
2024-12-10,23.62,27.35,21.79,26.0,38200
2024-12-09,28.86,28.86,23.25,25.23,56000
2024-12-06,30.23,31.2,29.14,30.0,26800
2024-12-05,36.8,36.8,30.75,30.75,70500
2024-12-04,34.51,36.7,34.01,35.5,42900
2024-12-03,35.5,36.74,34.255,35.35,33700
2024-12-02,36.0,37.16,34.11,35.97,17600
2024-11-29,33.5,38.4,33.5,37.7,15400
2024-11-27,32.32,33.99,30.65,33.99,29400
2024-11-26,31.01,32.97,27.2,31.96,26700
2024-11-25,29.434,31.53,28.535,31.02,13600
2024-11-22,28.623,34.17,28.623,29.7,26700
2024-11-21,30.0,32.24,26.05,31.0,44100
2024-11-20,35.0,35.05,30.18,30.81,21000
2024-11-19,32.51,37.0,32.3,34.74,85600
2024-11-18,30.7,33.0,30.0,32.7,29200
2024-11-15,27.89,32.5,27.5,31.01,84400
2024-11-14,21.72,26.75,21.72,26.75,80200
2024-11-13,16.51,22.58,16.51,22.07,136700
2024-11-12,17.87,17.89,16.25,16.64,27800
2024-11-11,18.14,18.46,16.65,17.9,27100
2024-11-08,16.905,18.67,16.59,18.25,28600
2024-11-07,15.52,16.724,15.52,16.3,11800
2024-11-06,16.09,16.67,14.21,15.5,37700
