datetime,open,high,low,close,volume
2025-03-27,0.7206,0.7206,0.7206,0.7206,0
2025-03-26,0.7206,0.7206,0.7206,0.7206,0
2025-03-25,0.661,0.73,0.632,0.7206,188267
2025-03-24,0.69,0.726,0.6536,0.7107,40276
2025-03-21,0.687,0.7,0.6465,0.7,35265
2025-03-20,0.64,0.688,0.6221,0.68,26905
2025-03-19,0.64,0.6784,0.64,0.6695,38516
2025-03-18,0.6412,0.6656,0.616,0.65,65087
2025-03-17,0.7,0.73,0.64,0.66,78800
2025-03-14,0.76,0.76,0.69,0.7,33600
2025-03-13,0.66,0.73,0.66,0.7,28100
2025-03-12,0.71,0.72,0.67,0.67,29400
2025-03-11,0.7,0.75,0.68,0.68,19500
2025-03-10,0.73,0.76,0.7,0.7,65700
2025-03-07,0.76,0.79,0.73,0.74,16000
2025-03-06,0.71,0.79,0.71,0.75,135500
2025-03-05,0.71,0.76,0.7,0.71,32100
2025-03-04,0.73,0.73,0.7,0.71,43200
2025-03-03,0.74,0.8,0.7,0.75,194000
2025-02-28,0.75,0.77,0.73,0.76,46800
2025-02-27,0.73,0.78,0.73,0.77,98700
2025-02-26,0.75,0.78,0.73,0.77,59700
2025-02-25,0.81,0.82,0.75,0.76,75700
2025-02-24,0.89,0.91,0.8,0.8,101000
2025-02-21,0.92,0.95,0.87,0.91,88100
2025-02-20,0.92,0.97,0.85,0.95,99700
2025-02-19,0.93,0.97,0.9,0.95,81100
2025-02-18,0.93,1.0,0.85,0.93,154900
2025-02-14,1.06,1.06,0.97,0.98,152400
2025-02-13,0.92,1.06,0.9,1.04,512800
2025-02-12,0.91,0.95,0.83,0.93,403100
2025-02-11,0.9,0.98,0.9,0.92,629500
2025-02-10,1.08,1.1,0.9,0.93,2281600
2025-02-09,0.9,1.1,0.9,0.928,2281609
2025-02-07,1.34,1.45,0.97,1.19,84728000
2025-02-06,0.8,0.83,0.75,0.77,112700
2025-02-05,0.8,0.85,0.78,0.8,119900
2025-02-04,0.76,0.8,0.75,0.8,49400
2025-02-03,0.76,0.7985,0.75,0.7969,49442
2025-01-31,0.76,0.79,0.71,0.77,30000
2025-01-30,0.8,0.8,0.7,0.7,41100
2025-01-29,0.77,0.8,0.73,0.78,61400
2025-01-28,0.82,0.82,0.75,0.79,39000
2025-01-27,0.83,0.83,0.77,0.8,27000
2025-01-24,0.85,0.85,0.8,0.82,33200
2025-01-23,0.85,0.86,0.8,0.81,12300
2025-01-22,0.86,0.87,0.78,0.8,40100
2025-01-21,0.78,0.86,0.76,0.84,90500
2025-01-17,0.79,0.82,0.77,0.8,16900
2025-01-16,0.74,0.82,0.72,0.78,79500
2025-01-15,0.69,0.76,0.66,0.75,148000
2025-01-14,0.65,0.7,0.65,0.68,40300
2025-01-13,0.63,0.68,0.62,0.66,54600
2025-01-10,0.7,0.71,0.62,0.62,36500
2025-01-08,0.7,0.72,0.67,0.69,56100
2025-01-07,0.65,0.7,0.62,0.65,17100
2025-01-06,0.68,0.7,0.62,0.66,36500
2025-01-03,0.62,0.68,0.6,0.66,90200
2025-01-02,0.6,0.61,0.58,0.6,37500
2024-12-31,0.6,0.61,0.55,0.59,106600
2024-12-30,0.6,0.64,0.59,0.6,64600
2024-12-27,0.57,0.62,0.57,0.6,30400
2024-12-26,0.57,0.6,0.57,0.57,46100
2024-12-24,0.59,0.63,0.58,0.6,63800
2024-12-23,0.6,0.66,0.58,0.6,47400
2024-12-20,0.63,0.63,0.6,0.63,26500
2024-12-19,0.62,0.63,0.6,0.62,20000
2024-12-18,0.64,0.66,0.62,0.63,86300
2024-12-17,0.58,0.66,0.57,0.66,252800
2024-12-16,0.57,0.6,0.57,0.58,38900
2024-12-13,0.59,0.61,0.57,0.58,29600
2024-12-12,0.6,0.62,0.59,0.6,62100
2024-12-11,0.61,0.63,0.6,0.6,16900
2024-12-10,0.61,0.64,0.6,0.62,63900
2024-12-09,0.6,0.64,0.6,0.62,22700
2024-12-06,0.64,0.65,0.61,0.61,38400
2024-12-05,0.65,0.68,0.6,0.6,38600
2024-12-04,0.68,0.68,0.62,0.66,11900
2024-12-03,0.65,0.69,0.65,0.66,12800
2024-12-02,0.67,0.68,0.65,0.68,13200
2024-11-29,0.68,0.72,0.64,0.64,28700
2024-11-27,0.68,0.72,0.64,0.72,14900
2024-11-26,0.66,0.69,0.6,0.68,28500
2024-11-25,0.69,0.7,0.66,0.68,45800
2024-11-22,0.7,0.77,0.68,0.73,18100
2024-11-21,0.69,0.71,0.68,0.7,10800
2024-11-20,0.7,0.71,0.69,0.71,7800
2024-11-19,0.7,0.73,0.68,0.68,13100
2024-11-18,0.7,0.73,0.65,0.72,18500
2024-11-15,0.68,0.7,0.62,0.7,27200
2024-11-14,0.73,0.74,0.61,0.61,55000
2024-11-13,0.72,0.74,0.71,0.72,47800
2024-11-12,0.72,0.74,0.71,0.74,17600
2024-11-11,0.73,0.74,0.71,0.71,12500
2024-11-08,0.74,0.75,0.72,0.74,17900
2024-11-07,0.76,0.77,0.71,0.72,16200
2024-11-06,0.71,0.77,0.71,0.74,19400
2024-11-05,0.73,0.74,0.7,0.71,28800
2024-11-04,0.71,0.77,0.71,0.73,14100
2024-11-01,0.72,0.75,0.71,0.72,19800
2024-10-31,0.72,0.75,0.71,0.75,6000
2024-10-30,0.73,0.75,0.72,0.72,12000
2024-10-29,0.76,0.76,0.74,0.75,2600
2024-10-28,0.77,0.78,0.72,0.73,67600
2024-10-25,0.74,0.78,0.73,0.75,13300
2024-10-24,0.78,0.78,0.75,0.78,10400
2024-10-23,0.75,0.8,0.75,0.75,10900
2024-10-22,0.78,0.82,0.77,0.77,58700
2024-10-21,0.8,0.81,0.78,0.81,32400
2024-10-18,0.78,0.79,0.75,0.77,25300
2024-10-17,0.8,0.8,0.77,0.78,9200
2024-10-16,0.79,0.79,0.74,0.79,23800
2024-10-15,0.74,0.78,0.74,0.75,11700
2024-10-14,0.78,0.81,0.74,0.74,92200
2024-10-11,0.76,0.79,0.75,0.77,50100
2024-10-10,0.73,0.79,0.73,0.77,27000
2024-10-09,0.76,0.79,0.73,0.75,28700
2024-10-08,0.73,0.77,0.73,0.74,34400
2024-10-07,0.71,0.75,0.71,0.75,26700
2024-10-04,0.71,0.75,0.67,0.74,25500
2024-10-03,0.69,0.78,0.69,0.71,37300
2024-10-02,0.79,0.8,0.7,0.73,44800
2024-10-01,0.76,0.79,0.73,0.77,13900
2024-09-30,0.7,0.79,0.7,0.79,54200
2024-09-27,0.72,0.72,0.67,0.72,43300
2024-09-26,0.72,0.72,0.69,0.7,46900
2024-09-25,0.66,0.7,0.66,0.69,8700
2024-09-24,0.7,0.71,0.66,0.67,24600
2024-09-23,0.7,0.74,0.68,0.7,41100
2024-09-20,0.69,0.71,0.65,0.71,93400
2024-09-19,0.66,0.7,0.66,0.68,36200
2024-09-18,0.66,0.75,0.64,0.65,57700
2024-09-17,0.64,0.71,0.64,0.65,25200
2024-09-16,0.64,0.68,0.64,0.64,20800
2024-09-13,0.64,0.68,0.64,0.65,14900
2024-09-12,0.65,0.66,0.59,0.64,74600
2024-09-11,0.69,0.7,0.65,0.66,60400
2024-09-10,0.69,0.69,0.66,0.66,37100
2024-09-09,0.69,0.7,0.66,0.68,66400
2024-09-08,0.69,0.6999,0.66,0.6808,66417
2024-09-06,0.68,0.69,0.65,0.68,93300
2024-09-05,0.72,0.75,0.68,0.68,67900
2024-09-04,0.72,0.75,0.681,0.682,67855
2024-09-03,0.7,0.75,0.7,0.72,49400
2024-08-30,0.78,0.79,0.7,0.75,138200
2024-08-29,0.81,0.81,0.76,0.77,100200
2024-08-28,0.81,0.82,0.78,0.81,44900
2024-08-27,0.8,0.83,0.78,0.8,36500
2024-08-26,0.79,0.86,0.79,0.83,102500
2024-08-23,0.89,0.89,0.77,0.78,273300
2024-08-22,0.95,0.98,0.83,0.92,423900
2024-08-21,1.26,1.26,1.19,1.26,20500
2024-08-20,1.2,1.27,1.2,1.23,12800
2024-08-19,1.24,1.27,1.22,1.24,37200
2024-08-16,1.2,1.26,1.2,1.26,27800
2024-08-15,1.17,1.26,1.17,1.21,16800
2024-08-14,1.17,1.19,1.15,1.19,16300
2024-08-13,1.26,1.26,1.15,1.17,10700
2024-08-12,1.27,1.28,1.2,1.21,16200
2024-08-09,1.2,1.29,1.19,1.27,28700
2024-08-08,1.18,1.21,1.13,1.21,30400
2024-08-07,1.14,1.16,1.07,1.16,56300
2024-08-06,1.05,1.17,1.02,1.1,53600
2024-08-05,1.04,1.1,1.03,1.06,24700
2024-08-02,1.1,1.19,1.06,1.08,52300
2024-08-01,1.15,1.16,1.09,1.1,23000
2024-07-31,1.09,1.2,1.04,1.19,97800
2024-07-30,1.18,1.18,1.06,1.09,132900
2024-07-29,1.14,1.2,1.08,1.18,1436700
2024-07-26,1.13,1.15,1.12,1.15,12300
2024-07-25,1.18,1.18,1.12,1.12,23300
2024-07-24,1.2,1.2,1.13,1.15,17200
2024-07-23,1.13,1.17,1.13,1.15,19700
