datetime,open,high,low,close,volume
2025-04-01,50.0,51.7,49.99,51.67,12136900
2025-03-31,49.32,50.26,48.85,50.21,14679600
2025-03-28,50.22,50.4,49.48,49.91,13164900
2025-03-27,50.0,51.32,49.74,50.92,12578800
2025-03-26,49.62,50.16,49.22,50.07,12310500
2025-03-25,49.73,50.26,49.46,49.51,11350700
2025-03-24,49.07,49.79,48.4,49.6,15517000
2025-03-21,48.44,48.7,47.79,48.53,19459900
2025-03-20,48.5,49.35,48.49,49.0,10718800
2025-03-19,47.75,49.09,47.75,48.99,16346600
2025-03-18,49.33,49.33,47.55,47.79,17984500
2025-03-17,50.01,50.23,49.29,49.65,10426200
2025-03-14,50.08,50.25,49.12,50.03,13840300
2025-03-13,49.95,50.02,48.22,48.73,12552500
2025-03-12,50.72,51.55,49.69,50.05,10527800
2025-03-11,49.81,51.3,49.58,49.98,12357500
2025-03-10,49.33,50.75,48.94,49.83,19063400
2025-03-07,51.39,51.39,48.01,50.23,24666800
2025-03-06,52.79,53.5,51.4,51.47,13830700
2025-03-05,53.27,54.0,52.9,53.6,8788900
2025-03-04,54.0,54.0,52.34,53.17,13484100
2025-03-03,55.02,55.7,53.85,54.33,12613400
2025-02-28,52.5,54.07,52.29,53.97,11489600
2025-02-27,53.77,54.09,52.51,52.74,8050100
2025-02-26,52.68,54.6,52.58,53.42,20664600
2025-02-25,51.13,52.73,50.54,52.47,17744900
2025-02-24,51.62,51.7,50.5,51.21,15660600
2025-02-21,53.01,53.13,51.27,51.51,12638500
2025-02-20,53.75,53.82,52.52,53.05,10258000
2025-02-19,54.29,54.68,53.12,53.8,15588900
2025-02-18,56.71,56.78,54.37,54.49,15308200
2025-02-14,58.16,58.19,56.98,57.08,8755400
2025-02-13,57.69,58.41,57.35,58.13,9067700
2025-02-12,55.98,57.4,55.81,57.29,8242800
2025-02-11,57.49,58.05,56.16,56.18,10690900
2025-02-10,57.46,59.09,57.27,57.8,13786800
2025-02-07,57.22,57.88,56.84,57.27,8777900
2025-02-06,57.95,58.28,56.55,57.32,10267000
2025-02-05,56.02,58.3,55.69,57.51,28259700
2025-02-04,58.41,59.19,58.28,59.02,16227800
2025-02-03,56.36,58.57,56.34,58.36,10845300
2025-01-31,59.08,59.08,58.2,58.35,8353300
2025-01-30,58.62,59.57,58.49,58.99,8734300
2025-01-29,57.71,58.56,57.5,58.27,6572000
2025-01-28,58.18,58.21,57.07,57.83,8700300
2025-01-27,56.27,58.48,56.22,58.3,12076800
2025-01-24,57.32,57.33,56.34,56.7,11123000
2025-01-23,55.7,57.77,55.64,57.56,12444600
2025-01-22,56.2,56.31,55.3,55.9,12755700
2025-01-21,57.73,57.84,56.06,56.2,13868800
2025-01-17,58.89,58.9,57.08,57.52,9420000
2025-01-16,57.44,59.11,57.07,58.36,9376500
2025-01-15,57.53,57.63,56.85,57.37,10492500
2025-01-14,56.81,56.83,55.98,56.44,6010300
2025-01-13,56.14,56.48,55.47,56.26,8242800
2025-01-10,57.54,57.78,56.42,56.5,10647200
2025-01-08,57.85,58.14,57.4,57.92,9320000
2025-01-07,58.8,58.95,57.87,57.99,8534800
2025-01-06,59.92,59.93,58.5,58.8,10256200
2025-01-03,60.13,60.2,59.21,59.7,5914100
2025-01-02,60.79,61.16,59.69,59.89,5797900
2024-12-31,60.15,60.69,59.89,60.3,5321500
2024-12-30,59.95,60.64,59.78,60.09,4929200
2024-12-27,61.11,61.15,60.43,60.78,4438000
2024-12-26,61.79,62.11,61.46,61.47,5518300
2024-12-24,61.7,62.43,61.61,62.24,2534600
2024-12-23,61.67,61.94,60.96,61.58,8463200
2024-12-20,61.11,62.88,61.11,61.87,12727300
2024-12-19,62.01,62.75,61.25,61.74,8049400
2024-12-18,64.1,64.15,61.3,61.34,10094400
2024-12-17,64.16,64.87,63.97,64.29,7544100
2024-12-16,64.91,65.35,64.55,64.8,7221400
2024-12-13,66.26,66.43,64.22,64.59,6247000
2024-12-12,65.83,66.74,65.41,66.16,9923300
2024-12-11,65.31,65.79,64.93,65.57,7545400
2024-12-10,64.58,65.11,64.32,64.83,7254600
2024-12-09,65.65,65.68,63.74,64.58,10138400
2024-12-06,65.79,66.06,65.12,65.4,9963700
2024-12-05,63.91,65.42,63.51,65.22,11209600
2024-12-04,62.99,64.14,62.67,63.89,12526000
2024-12-03,60.84,60.99,60.41,60.94,6011600
2024-12-02,61.56,62.11,60.51,60.54,7894000
2024-11-29,62.1,62.13,61.52,61.52,3845900
2024-11-27,62.56,62.69,61.51,62.05,5779500
2024-11-26,62.07,62.74,61.85,62.71,6629800
2024-11-25,62.14,62.59,61.81,62.0,14070000
2024-11-22,60.33,62.43,60.24,62.01,11366500
2024-11-21,58.91,60.07,58.71,59.98,7508500
2024-11-20,58.96,59.22,58.19,58.88,6399900
2024-11-19,58.41,59.05,57.67,58.73,9562500
2024-11-18,58.68,59.38,58.46,58.81,5898500
2024-11-15,59.27,59.44,58.53,58.63,6744000
2024-11-14,59.01,60.73,58.79,59.91,7524000
2024-11-13,60.89,61.27,59.19,59.27,9406000
2024-11-12,59.29,60.78,59.17,60.49,15552300
2024-11-11,58.98,59.38,58.31,59.27,12985600
2024-11-08,58.0,59.43,58.0,58.81,8153200
2024-11-07,58.0,59.14,57.81,58.21,7974500
2024-11-06,57.7,58.26,57.19,57.69,10743800
2024-11-05,56.27,56.77,55.89,56.18,10315000
2024-11-04,58.39,58.4,56.37,56.38,10752300
2024-11-01,56.34,58.96,56.25,58.59,19877800
2024-10-31,55.17,57.42,55.02,55.77,14595400
2024-10-30,57.36,58.0,55.51,55.73,28560300
2024-10-29,60.76,60.79,59.94,60.49,23959200
2024-10-28,59.85,61.25,59.84,60.6,12121400
2024-10-25,59.84,59.86,59.23,59.44,6074200
2024-10-24,59.27,59.63,58.97,59.44,7048500
2024-10-23,59.56,59.58,58.42,59.02,9523800
2024-10-22,59.69,60.1,59.25,59.88,7377500
2024-10-21,59.74,59.85,59.21,59.7,6425000
2024-10-18,59.3,59.5,58.75,59.39,5863700
2024-10-17,59.24,59.39,58.52,58.86,6326100
2024-10-16,59.91,60.08,58.85,59.12,5865700
2024-10-15,59.69,60.09,58.91,59.81,8134900
2024-10-14,59.28,59.6,58.69,59.28,5988200
2024-10-11,58.5,59.48,58.49,58.65,7292800
2024-10-10,57.81,58.36,57.02,58.33,5154900
2024-10-09,58.09,58.4,57.54,57.93,8542900
2024-10-08,57.26,58.35,57.15,57.98,9101000
2024-10-07,57.14,57.47,56.43,56.73,7551200
2024-10-04,57.0,57.25,56.44,57.11,6051500
2024-10-03,57.5,57.56,56.23,56.7,7004100
2024-10-02,56.75,57.81,55.94,57.68,7418600
2024-10-01,57.76,57.87,56.74,57.17,8718200
2024-09-30,57.24,58.11,57.1,57.62,10328100
2024-09-27,57.99,58.13,56.89,57.34,9078300
2024-09-26,58.85,59.0,57.76,58.05,10296500
2024-09-25,58.0,58.45,57.63,58.38,8421700
2024-09-24,58.29,58.34,57.52,57.96,8920700
2024-09-23,57.45,58.5,57.28,58.29,9306000
2024-09-20,57.68,58.18,56.99,57.23,14686600
2024-09-19,58.25,58.43,57.41,57.97,9541700
2024-09-18,58.54,58.54,56.81,56.93,10214200
2024-09-17,58.05,58.77,57.49,58.5,10580500
2024-09-16,56.59,57.75,56.4,57.66,10663600
2024-09-13,56.45,56.57,55.69,56.12,7916300
2024-09-12,55.93,56.48,55.55,56.35,9074500
2024-09-11,54.27,55.87,53.96,55.79,12804800
2024-09-10,54.43,54.9,53.68,54.21,8367400
2024-09-09,54.04,54.83,54.0,54.29,9472500
2024-09-06,53.19,54.52,53.08,53.68,13248700
2024-09-05,53.02,53.78,52.92,53.03,8317000
2024-09-04,52.65,53.47,52.65,53.34,12220100
2024-09-03,55.99,56.58,53.18,53.52,14402300
2024-08-30,55.95,56.23,55.18,56.08,12845600
2024-08-29,56.21,56.49,55.54,55.63,10702300
2024-08-28,56.57,56.98,55.23,55.77,13745800
2024-08-27,54.19,56.3,54.19,56.14,14889600
2024-08-26,53.82,55.05,53.78,54.75,12213500
2024-08-23,53.81,53.95,53.1,53.71,9928400
2024-08-22,53.54,54.26,53.21,53.45,10425700
