datetime,open,high,low,close,volume
2025-04-01,69.98,70.0,67.64,68.03,6209500
2025-03-31,67.72,69.63,66.88,69.44,6826100
2025-03-28,70.17,70.35,69.18,69.3,5867000
2025-03-27,70.16,70.64,69.77,70.16,7970800
2025-03-26,72.56,72.86,71.6,71.73,7582300
2025-03-25,75.88,76.05,73.2,73.6,8895600
2025-03-24,74.97,76.0,74.9,75.33,8083200
2025-03-21,75.96,77.29,75.52,76.86,5880500
2025-03-20,79.22,79.56,78.49,78.79,4572500
2025-03-19,80.15,80.23,78.48,79.0,6920600
2025-03-18,82.21,82.57,80.21,80.98,5696400
2025-03-17,79.64,80.56,79.35,80.15,5995800
2025-03-14,75.75,77.55,75.24,77.15,6505900
2025-03-13,76.02,77.34,75.4,75.89,8228200
2025-03-12,74.32,75.34,73.8,74.79,10858200
2025-03-11,78.88,79.27,77.0,78.11,7433500
2025-03-10,79.81,80.7,78.3,78.95,12603400
2025-03-07,88.37,88.55,86.35,87.17,5278200
2025-03-06,87.95,89.03,87.46,88.04,5450900
2025-03-05,91.5,91.9,90.29,90.86,8011700
2025-03-04,88.3,88.65,86.33,87.5,5203600
2025-03-03,90.66,90.74,89.0,89.37,4810900
2025-02-28,89.86,90.72,89.38,90.65,5962500
2025-02-27,88.95,90.19,88.91,89.22,6953800
2025-02-26,91.03,91.12,89.28,89.55,7387800
2025-02-25,92.28,93.8,89.0,90.95,11465900
2025-02-24,88.86,91.12,88.12,90.59,10476300
2025-02-21,88.39,89.23,85.74,88.08,15128800
2025-02-20,82.93,84.0,82.71,83.74,5015200
2025-02-19,82.94,83.63,82.56,83.4,5948100
2025-02-18,82.1,82.68,81.06,82.33,8712100
2025-02-14,78.58,79.07,77.82,77.87,9875500
2025-02-13,79.54,80.14,78.7,78.83,10809200
2025-02-12,81.02,82.36,80.53,81.79,6427400
2025-02-11,83.51,84.25,82.87,83.74,5046800
2025-02-10,85.7,85.92,83.65,83.91,9555000
2025-02-07,88.69,88.77,86.14,86.42,8700800
2025-02-06,86.72,88.95,86.67,87.17,10576000
2025-02-05,86.43,87.42,85.09,85.73,14099000
2025-02-04,81.62,83.44,81.27,82.62,9880700
2025-02-03,82.13,83.38,82.07,82.65,5460100
2025-01-31,84.87,85.44,84.29,84.45,6546200
2025-01-30,84.6,86.47,83.94,85.34,5798800
2025-01-29,85.62,85.67,83.9,84.03,6843900
2025-01-28,86.07,86.86,84.6,85.19,9534300
2025-01-27,85.74,88.46,85.34,87.51,10864900
2025-01-24,89.97,89.97,86.57,87.97,27095400
2025-01-23,81.33,81.72,80.33,81.1,6765800
2025-01-22,81.73,81.8,80.43,80.57,5910400
2025-01-21,79.68,81.11,79.32,81.03,8094300
2025-01-17,79.94,80.88,78.17,78.69,21265300
2025-01-16,82.74,83.99,82.19,83.07,6322400
2025-01-15,83.36,83.82,82.71,82.92,9021500
2025-01-14,82.92,83.68,80.05,81.18,13694900
2025-01-13,84.42,84.72,83.69,84.62,7412400
2025-01-10,87.22,87.28,85.84,86.26,6774700
2025-01-08,85.51,85.8,84.68,85.64,9196400
2025-01-07,84.1,84.81,82.64,83.34,9567900
2025-01-06,86.11,86.34,84.8,85.03,10695700
2025-01-03,87.49,88.19,87.34,87.65,3769000
2025-01-02,87.91,88.51,87.19,87.52,4570300
2024-12-31,85.42,86.05,85.0,86.02,4202400
2024-12-30,86.97,87.01,85.66,85.73,6110000
2024-12-27,87.73,88.77,87.02,87.37,6066000
2024-12-26,87.17,88.06,86.87,87.65,6289300
2024-12-24,88.9,88.98,87.07,87.37,4774900
2024-12-23,88.87,89.1,85.99,88.71,18997900
2024-12-20,82.72,86.53,81.5,85.0,53762400
2024-12-19,104.27,104.75,102.74,103.44,5344400
2024-12-18,108.39,109.04,105.48,105.96,3760900
2024-12-17,107.75,108.99,107.73,108.01,5415500
2024-12-16,109.29,109.88,107.87,108.05,5346900
2024-12-13,107.04,107.61,104.14,106.95,6250400
2024-12-12,110.88,111.17,108.41,108.61,3650800
2024-12-11,110.45,112.52,110.02,111.69,6545700
2024-12-10,111.55,111.55,108.7,109.19,4621700
2024-12-09,111.72,111.99,110.3,111.08,4908900
2024-12-06,109.93,111.31,109.75,110.77,6045700
2024-12-05,108.62,109.32,108.23,108.82,3914400
2024-12-04,110.22,110.52,108.96,108.97,4485600
2024-12-03,110.78,110.88,109.05,109.2,4828700
2024-12-02,108.93,109.14,108.15,108.67,4948300
2024-11-29,105.43,107.4,105.35,106.8,2775100
2024-11-27,105.79,106.13,104.96,106.13,3990600
2024-11-26,106.67,107.7,105.63,106.13,6761400
2024-11-25,105.31,105.92,104.0,104.56,4294600
2024-11-22,103.91,106.24,103.86,105.06,6143300
2024-11-21,103.18,103.22,101.51,102.63,6185400
2024-11-20,103.43,105.74,103.0,105.27,7520700
2024-11-19,101.18,103.12,101.14,102.63,5778700
2024-11-18,100.32,101.0,99.42,99.81,8790100
2024-11-15,101.67,102.34,100.32,101.74,8076200
2024-11-14,106.83,107.0,105.0,105.32,4467100
2024-11-13,106.88,107.79,106.55,106.91,3157100
2024-11-12,106.81,107.61,105.7,107.06,5135400
2024-11-11,109.67,110.61,108.93,109.09,4941900
2024-11-08,107.15,107.87,106.43,107.2,5222600
2024-11-07,106.1,107.74,105.59,107.63,8363200
2024-11-06,108.27,108.75,105.03,105.36,12044600
2024-11-05,107.98,110.3,107.75,110.13,6604300
2024-11-04,110.19,110.66,109.44,109.72,6215000
2024-11-01,112.88,113.02,111.79,111.94,4554700
2024-10-31,110.21,112.16,109.63,111.95,8455300
2024-10-30,108.89,113.76,107.24,113.24,11109200
2024-10-29,111.62,113.27,111.15,111.98,8243400
2024-10-28,112.41,112.72,111.67,112.36,5356000
2024-10-25,113.9,114.19,113.1,113.38,4594600
2024-10-24,115.21,115.26,113.91,113.92,4499900
2024-10-23,116.33,116.44,114.95,115.74,3220700
