datetime,open,high,low,close,volume
2025-04-01,26.25,26.51,24.32,24.98,1033500
2025-03-31,25.52,26.75,24.78,26.6,796200
2025-03-28,30.18,30.73,25.66,26.21,1694900
2025-03-27,27.56,28.55,27.0,27.87,403500
2025-03-26,28.78,28.96,27.0,27.65,340400
2025-03-25,29.98,30.0,28.8,28.93,431400
2025-03-24,28.94,30.57,28.41,30.0,935800
2025-03-21,27.75,28.7,27.59,28.41,625700
2025-03-20,27.16,28.92,26.89,28.09,676000
2025-03-19,26.77,27.51,25.17,27.28,989900
2025-03-18,28.93,31.74,25.73,26.98,2106400
2025-03-17,23.24,23.86,22.84,23.32,1036600
2025-03-14,22.64,23.63,22.51,23.01,308700
2025-03-13,22.76,22.76,21.91,22.24,324200
2025-03-12,23.45,24.0,22.39,22.56,311400
2025-03-11,22.34,23.02,21.69,22.9,708600
2025-03-10,23.71,23.88,21.14,22.22,819300
2025-03-07,24.7,25.32,23.7,24.38,334200
2025-03-06,25.58,26.0,24.21,24.71,333700
2025-03-05,25.9,26.3,25.19,26.25,202900
2025-03-04,25.15,26.96,24.32,26.11,633000
2025-03-03,28.06,28.26,25.36,25.63,554600
2025-02-28,27.17,28.25,27.07,28.08,200500
2025-02-27,28.33,28.87,27.47,27.56,213300
2025-02-26,27.87,28.81,27.69,28.29,212800
2025-02-25,27.67,28.1,27.06,27.66,308900
2025-02-24,29.06,29.08,26.79,27.57,445600
2025-02-21,30.51,30.71,28.2,28.95,584900
2025-02-20,30.23,30.59,29.56,30.13,184500
2025-02-19,30.95,30.95,29.71,30.26,274300
2025-02-18,30.55,31.54,29.72,30.57,356700
2025-02-14,31.95,32.5,30.4,30.42,334300
2025-02-13,30.23,31.96,29.84,31.91,268100
2025-02-12,31.04,31.41,29.63,29.94,342600
2025-02-11,32.17,32.25,30.1,31.75,567600
2025-02-10,31.5,32.09,31.1,32.0,269800
2025-02-07,31.02,31.84,30.57,31.01,255300
2025-02-06,32.3,32.97,30.9,31.04,330100
2025-02-05,30.83,31.84,30.69,30.89,213900
2025-02-04,29.73,31.1,29.5,30.83,343500
2025-02-03,29.25,30.11,28.96,29.83,499600
2025-01-31,31.63,31.77,29.37,30.72,820000
2025-01-30,32.83,33.14,31.5,31.69,280300
2025-01-29,32.6,32.99,32.02,32.35,223000
2025-01-28,32.58,33.04,32.09,32.7,227800
2025-01-27,32.48,33.32,31.57,32.29,295100
2025-01-24,33.66,33.87,33.01,33.37,287400
2025-01-23,34.11,35.1,33.01,33.6,380000
2025-01-22,36.09,37.0,34.05,34.55,374300
2025-01-21,34.51,36.1,33.94,36.1,243200
2025-01-17,33.76,34.45,33.04,33.85,277700
2025-01-16,35.43,35.43,33.06,33.46,246500
2025-01-15,34.86,36.13,34.1,35.4,278200
2025-01-14,34.85,35.47,32.93,33.53,407800
2025-01-13,35.92,35.92,34.0,34.74,357300
2025-01-10,35.57,36.87,34.96,36.67,305200
2025-01-08,35.62,36.28,34.89,36.15,216600
2025-01-07,35.92,36.57,34.82,36.02,242900
2025-01-06,36.34,36.77,35.53,35.96,256700
2025-01-03,37.0,37.47,35.85,36.34,353000
2025-01-02,33.95,36.66,33.53,36.56,465800
2024-12-31,33.65,34.53,33.23,33.55,462900
2024-12-30,33.1,33.88,32.4,33.39,262700
2024-12-27,34.65,35.07,32.85,33.5,347000
2024-12-26,33.45,35.1,33.11,35.06,194800
2024-12-24,33.67,33.94,33.06,33.83,133600
2024-12-23,34.13,34.59,33.37,34.01,220900
2024-12-22,34.13,34.585,33.37,34.01,220889
2024-12-20,33.91,35.28,33.75,34.22,554300
2024-12-19,34.55,35.74,33.27,34.43,479500
2024-12-18,35.16,35.95,33.89,34.08,495200
2024-12-17,36.15,36.56,34.74,35.08,338000
2024-12-16,36.15,36.561,34.74,35.075,337969
2024-12-13,36.56,37.15,35.28,35.5,271400
2024-12-12,37.36,37.68,35.72,36.4,423300
2024-12-11,38.46,38.46,37.17,37.74,266300
2024-12-10,39.92,40.7,37.69,37.77,248800
2024-12-09,39.57,40.53,38.83,39.95,314100
2024-12-06,37.67,39.32,37.51,39.32,270900
2024-12-05,37.52,38.12,36.78,37.42,528500
2024-12-04,39.62,40.11,37.85,38.08,553100
2024-12-03,41.71,42.01,38.92,40.02,384500
2024-12-02,41.46,42.14,40.0,41.86,508200
2024-11-29,42.69,42.9,41.2,41.91,191500
2024-11-27,42.47,43.68,41.79,42.47,333300
2024-11-26,41.91,42.53,41.03,42.24,254900
2024-11-25,43.44,43.55,40.6,42.06,622400
2024-11-22,44.17,44.45,42.73,42.9,330700
2024-11-21,42.79,44.29,42.15,43.88,396200
2024-11-20,40.03,42.52,39.85,42.44,585800
2024-11-19,37.25,39.96,37.08,39.7,488700
2024-11-18,40.06,40.06,37.0,37.97,1102600
2024-11-15,42.94,42.94,38.35,39.01,1347500
2024-11-14,41.75,46.33,38.96,42.86,2464000
2024-11-13,50.07,54.19,50.0,51.8,1059100
2024-11-12,52.5,53.88,48.67,49.91,725200
2024-11-11,53.42,53.99,51.64,52.02,432400
2024-11-08,49.69,53.0,49.68,52.51,467600
2024-11-07,48.86,50.25,48.25,49.91,578800
2024-11-06,47.45,48.58,46.27,48.24,400000
2024-11-05,45.33,46.55,44.91,45.8,320500
2024-11-04,45.63,47.02,44.75,45.83,364700
2024-11-01,45.45,46.5,44.99,45.64,463000
2024-10-31,44.5,45.31,43.59,45.06,442100
2024-10-30,46.05,46.1,44.19,44.42,512700
2024-10-29,46.91,47.14,45.31,46.55,594200
2024-10-28,51.66,51.91,46.19,47.2,1069300
2024-10-25,53.9,53.99,50.56,50.6,556400
2024-10-24,54.77,55.75,52.59,53.04,438700
2024-10-23,56.76,57.11,52.0,54.22,641900
2024-10-22,56.5,57.72,55.57,56.98,425500
2024-10-21,57.44,57.48,55.87,56.42,625700
2024-10-18,56.18,59.23,56.01,57.48,558900
2024-10-17,54.99,57.2,54.99,56.41,462700
2024-10-16,53.83,55.88,53.04,54.82,526000
2024-10-15,50.95,54.31,50.56,53.49,542100
2024-10-14,50.9,51.21,49.74,50.89,387500
2024-10-11,49.67,52.45,49.67,50.71,441500
2024-10-10,50.61,50.61,48.53,49.67,588300
2024-10-09,50.58,52.0,49.66,50.99,542800
2024-10-08,50.74,51.95,50.31,51.0,398900
2024-10-07,50.25,50.96,49.45,50.64,574300
2024-10-04,50.94,51.81,49.86,50.37,792300
2024-10-03,47.5,51.57,47.25,49.75,1238000
2024-10-02,43.75,46.55,43.75,45.88,352000
2024-10-01,44.72,44.82,42.89,44.45,276600
2024-09-30,43.66,46.82,43.66,44.96,600500
2024-09-27,44.48,44.97,43.39,44.07,187500
2024-09-26,44.93,45.51,43.9,44.23,294600
2024-09-25,45.91,46.75,44.2,44.46,263000
2024-09-24,44.45,45.99,43.33,45.91,241100
2024-09-23,45.36,46.02,44.0,44.44,282100
2024-09-20,46.43,46.89,44.84,45.02,695600
2024-09-19,46.64,47.55,45.75,46.47,342800
2024-09-18,43.33,46.71,42.51,45.33,382600
2024-09-17,44.31,44.38,43.15,43.57,178500
2024-09-16,45.06,45.11,43.07,43.97,324000
2024-09-13,42.34,45.78,42.09,45.14,614200
2024-09-12,41.57,42.91,41.32,42.07,238300
2024-09-11,41.06,42.0,40.31,41.37,310600
2024-09-10,39.42,41.63,39.42,41.06,458100
2024-09-09,38.78,39.74,38.24,39.32,277100
2024-09-06,39.98,40.35,37.73,37.98,323100
2024-09-05,39.4,40.2,38.89,40.04,339300
2024-09-04,39.22,39.92,38.52,39.29,278100
2024-09-03,40.29,41.16,38.94,39.63,369100
2024-08-30,39.5,40.51,38.67,40.46,946800
2024-08-29,39.94,41.3,39.05,39.26,613500
2024-08-28,42.92,43.0,38.27,39.56,1276700
2024-08-27,44.4,44.8,42.86,43.4,652000
2024-08-26,43.01,44.5,42.12,44.22,735400
2024-08-23,41.51,43.24,41.4,42.7,671300
2024-08-22,40.42,42.0,40.09,41.32,826500
2024-08-21,39.3,40.09,38.72,40.08,462700
2024-08-20,39.12,40.39,38.86,39.31,316200
2024-08-19,39.23,40.03,38.44,39.48,593200
2024-08-16,39.23,39.3,38.15,38.92,455100
2024-08-15,38.09,39.55,37.03,38.92,778400
2024-08-14,38.17,38.47,36.73,37.05,504500
2024-08-13,35.5,38.38,35.32,37.85,1365200
2024-08-12,36.18,36.31,34.21,35.5,1028000
2024-08-09,34.4,36.0,33.97,35.94,1565300
2024-08-08,31.48,35.23,30.0,33.92,4703900
2024-08-07,23.0,23.0,21.33,21.98,677100
2024-08-06,22.77,23.29,22.22,22.72,550200
2024-08-05,22.15,23.01,21.45,22.79,562100
2024-08-02,23.87,24.17,22.88,23.6,367200
2024-08-01,25.81,26.0,24.2,24.55,343800
2024-07-31,24.37,26.21,24.27,25.78,574000
2024-07-30,24.12,24.56,23.74,24.02,226400
