datetime,open,high,low,close,volume
2025-04-01,10.24,10.24,10.24,10.24,0
2025-03-31,10.24,10.24,10.24,10.24,0
2025-03-28,10.24,10.24,10.24,10.24,0
2025-03-27,10.24,10.24,10.24,10.24,0
2025-03-26,10.24,10.24,10.24,10.24,0
2025-03-25,10.24,10.24,10.24,10.24,0
2025-03-24,10.24,10.24,10.24,10.24,0
2025-03-21,10.24,10.24,10.24,10.24,0
2025-03-20,10.24,10.24,10.24,10.24,0
2025-03-19,10.24,10.24,10.24,10.24,0
2025-03-18,10.24,10.24,10.24,10.24,0
2025-03-17,10.24,10.24,10.24,10.24,407
2025-03-14,10.21,10.21,10.2099,10.21,352
2025-03-13,10.24,10.24,10.2,10.21,1576
2025-03-12,10.21,10.25,10.2,10.2,604
2025-03-11,10.2372,10.25,10.16,10.24,1458
2025-03-10,10.2,10.2,10.17,10.17,500
2025-03-07,10.16,10.16,10.16,10.16,0
2025-03-06,10.16,10.16,10.16,10.16,0
2025-03-05,10.16,10.16,10.16,10.16,0
2025-03-04,10.16,10.16,10.16,10.16,0
2025-03-03,10.16,10.16,10.16,10.16,0
2025-02-28,10.16,10.16,10.16,10.16,0
2025-02-27,10.16,10.16,10.16,10.16,100
2025-02-26,10.1956,10.1956,10.1956,10.1956,0
2025-02-25,10.195,10.1956,10.14,10.1956,5102
2025-02-24,10.17,10.19,10.15,10.185,12460
2025-02-21,10.1601,10.1601,10.1601,10.1601,0
2025-02-20,10.1601,10.1601,10.1601,10.1601,0
2025-02-19,10.1601,10.1601,10.1601,10.1601,0
2025-02-18,10.1507,10.1601,10.1507,10.1601,200
2025-02-14,10.14,10.14,10.14,10.14,0
2025-02-13,10.14,10.14,10.14,10.14,0
2025-02-12,10.14,10.14,10.14,10.14,100
2025-02-11,10.17,10.17,10.17,10.17,0
2025-02-10,10.16,10.17,10.16,10.17,940
2025-02-07,10.1588,10.1588,10.1488,10.1488,1632
2025-02-06,10.17,10.17,10.17,10.17,0
2025-02-05,10.17,10.17,10.17,10.17,4000
2025-02-04,10.1694,10.1694,10.1694,10.1694,0
2025-02-03,10.17,10.17,10.14,10.1694,2035
2025-01-31,10.1487,10.15,10.13,10.15,415
2025-01-30,10.15,10.15,10.15,10.15,4545
2025-01-29,10.19,10.19,10.135,10.15,31700
2025-01-28,10.12,10.13,10.12,10.13,646731
2025-01-27,10.11,10.12,10.08,10.12,49187
2025-01-24,10.09,10.1,10.09,10.1,134734
2025-01-23,10.09,10.09,10.09,10.09,285833
2025-01-22,10.07,10.08,10.07,10.08,90612
2025-01-21,10.07,10.07,10.07,10.07,25949
2025-01-17,10.06,10.06,10.06,10.06,0
2025-01-16,10.05,10.06,10.05,10.06,9908
2025-01-15,10.04,10.05,10.04,10.05,27968
2025-01-14,10.06,10.06,10.06,10.06,0
2025-01-13,10.06,10.06,10.06,10.06,200
2025-01-10,10.07,10.07,10.04,10.06,300
2025-01-08,10.04,10.04,10.04,10.04,130
2025-01-07,10.02,10.0488,10.02,10.0488,2100
2025-01-06,10.03,10.04,10.03,10.04,1766
2025-01-03,10.03,10.04,10.03,10.03,1417
2025-01-02,10.02,10.02,10.02,10.02,900
2024-12-31,10.03,10.03,10.02,10.02,55787
2024-12-30,10.015,10.015,10.015,10.015,0
2024-12-27,10.015,10.015,10.015,10.015,0
2024-12-26,10.015,10.015,10.015,10.015,0
2024-12-24,10.0,10.015,10.0,10.015,500
2024-12-23,10.0099,10.01,10.0099,10.01,400
2024-12-20,10.015,10.02,10.0,10.01,22225
2024-12-19,10.02,10.02,10.0,10.0,21524
2024-12-18,10.03,10.03,10.0185,10.0185,1874
2024-12-17,10.02,10.02,10.0,10.0,3185
2024-12-16,10.01,10.01,10.0,10.0,473734
2024-12-13,10.0,10.01,10.0,10.01,30274
2024-12-12,10.0,10.03,10.0,10.0,455901
2024-12-11,9.99,10.005,9.99,9.99,555253
2024-12-10,10.0,10.0,9.99,10.0,52621
2024-12-09,10.0,10.0,9.99,9.99,123687
2024-12-06,10.0,10.0,9.99,9.99,459511
2024-12-05,10.0,10.01,9.99,9.99,2666254
