datetime,open,high,low,close,volume
2025-04-01,6.35,6.375,6.26,6.27,1373900
2025-03-31,6.28,6.37,6.15,6.31,1069100
2025-03-28,6.52,6.52,6.295,6.32,776200
2025-03-27,6.39,6.659,6.38,6.58,780000
2025-03-26,6.38,6.46,6.325,6.41,1170600
2025-03-25,6.52,6.57,6.37,6.37,1672600
2025-03-24,6.61,6.635,6.52,6.57,1322400
2025-03-21,6.6,6.63,6.511,6.57,2215900
2025-03-20,6.8,6.83,6.665,6.67,1691700
2025-03-19,7.15,7.15,6.87,6.9,1805000
2025-03-18,7.16,7.16,6.94,7.06,1205200
2025-03-17,7.1,7.24,7.0,7.14,3435000
2025-03-14,7.25,7.32,7.0,7.06,2177900
2025-03-13,6.91,7.17,6.81,7.17,1517000
2025-03-12,6.57,7.09,6.5,6.8,5735300
2025-03-11,7.46,7.48,7.25,7.42,1039100
2025-03-10,7.51,7.53,7.285,7.31,934700
2025-03-07,7.63,7.72,7.58,7.65,689000
2025-03-06,7.67,7.747,7.58,7.63,967300
2025-03-05,7.36,7.635,7.353,7.59,819500
2025-03-04,7.21,7.348,7.092,7.27,851400
2025-03-03,7.34,7.43,7.16,7.18,920800
2025-02-28,7.56,7.6,7.36,7.37,857900
2025-02-27,7.76,7.823,7.66,7.67,830100
2025-02-26,8.05,8.125,7.8,7.84,963600
2025-02-25,7.88,7.92,7.77,7.89,1378000
2025-02-24,8.1,8.11,7.63,7.82,2258300
2025-02-21,8.19,8.38,8.04,8.15,3477200
2025-02-20,7.71,8.165,7.7,8.07,1827800
2025-02-19,7.76,7.77,7.61,7.69,583400
2025-02-18,7.98,8.015,7.7,7.82,877700
2025-02-14,8.0,8.3,7.82,7.91,1420900
2025-02-13,7.57,7.865,7.49,7.83,1146400
2025-02-12,7.63,7.72,7.49,7.65,850700
2025-02-11,7.49,7.67,7.32,7.55,780400
2025-02-10,7.57,7.635,7.44,7.6,852600
2025-02-07,7.43,7.575,7.31,7.42,603400
2025-02-06,7.17,7.4,7.14,7.37,1384700
2025-02-05,7.19,7.24,7.07,7.12,385400
2025-02-04,7.16,7.35,7.1,7.27,975500
2025-02-03,6.97,7.28,6.94,7.06,766100
2025-01-31,7.47,7.47,7.1,7.19,433300
2025-01-30,7.22,7.57,7.21,7.46,563200
2025-01-29,7.43,7.5,7.14,7.17,693700
2025-01-28,7.37,7.43,7.26,7.43,349300
2025-01-27,7.44,7.47,7.325,7.34,442900
2025-01-24,7.15,7.365,7.13,7.33,1003000
2025-01-23,7.25,7.36,7.04,7.11,756700
2025-01-22,7.19,7.335,7.17,7.21,762300
2025-01-21,7.31,7.43,7.22,7.24,594400
2025-01-17,6.98,7.32,6.98,7.23,765300
2025-01-16,6.87,7.095,6.87,6.97,979900
2025-01-15,6.83,6.94,6.78,6.87,1122500
2025-01-14,6.81,6.91,6.75,6.78,1139500
2025-01-13,6.67,6.86,6.65,6.7,994400
2025-01-10,6.84,6.84,6.63,6.7,746500
2025-01-08,6.99,7.09,6.885,6.9,1131300
2025-01-07,7.05,7.11,6.98,7.08,631300
2025-01-06,7.245,7.37,7.06,7.08,984900
2025-01-03,7.42,7.53,7.075,7.18,900400
2025-01-02,7.67,7.7,7.37,7.39,875100
2024-12-31,7.3,7.76,7.285,7.71,2113200
2024-12-30,7.46,7.535,7.29,7.29,1151800
2024-12-27,7.4,7.54,7.4,7.49,1290500
2024-12-26,7.39,7.53,7.34,7.44,598800
2024-12-24,7.42,7.49,7.36,7.39,258500
2024-12-23,7.35,7.435,7.3,7.39,781100
2024-12-20,7.29,7.45,7.22,7.35,1297800
2024-12-19,7.45,7.47,7.29,7.3,618700
2024-12-18,7.55,7.565,7.36,7.36,998600
2024-12-17,7.4,7.72,7.4,7.56,1127000
2024-12-16,7.79,7.83,7.435,7.44,813000
2024-12-13,7.76,7.85,7.69,7.84,1116200
2024-12-12,7.7,7.805,7.61,7.79,1217700
2024-12-11,7.57,7.798,7.53,7.7,1791200
2024-12-10,7.16,7.685,6.86,7.57,2498900
2024-12-09,7.31,7.642,7.07,7.39,3907600
2024-12-06,6.73,6.818,6.66,6.77,942300
2024-12-05,6.66,6.78,6.585,6.62,681800
2024-12-04,6.65,6.695,6.56,6.66,1124500
2024-12-03,6.81,6.84,6.64,6.65,1217700
2024-12-02,6.7,6.805,6.595,6.78,906800
2024-11-29,6.58,6.875,6.58,6.73,1596100
2024-11-27,6.4,6.675,6.4,6.64,841100
2024-11-26,6.45,6.52,6.32,6.32,451000
2024-11-25,6.4,6.53,6.39,6.47,811600
2024-11-22,6.41,6.455,6.32,6.36,785600
2024-11-21,6.62,6.675,6.45,6.56,1269500
2024-11-20,6.7,6.765,6.655,6.68,369000
2024-11-19,6.82,6.87,6.68,6.68,627900
2024-11-18,6.74,6.94,6.74,6.84,891600
2024-11-15,6.68,6.86,6.68,6.72,561500
2024-11-14,6.63,6.775,6.6,6.72,834300
2024-11-13,6.84,6.96,6.69,6.7,803200
2024-11-12,6.85,6.992,6.66,6.83,932800
2024-11-11,6.92,6.96,6.73,6.85,688000
2024-11-08,7.1,7.13,6.845,6.94,1084200
2024-11-07,7.07,7.47,7.07,7.25,1052600
2024-11-06,7.05,7.14,6.875,6.91,1877600
2024-11-05,7.3,7.5,7.235,7.29,461800
2024-11-04,7.1,7.286,7.07,7.19,768600
2024-11-01,7.11,7.18,7.055,7.1,1167300
2024-10-31,7.05,7.11,7.0,7.07,532700
2024-10-30,7.0,7.13,7.0,7.07,434300
2024-10-29,7.11,7.19,7.08,7.12,725300
2024-10-28,6.92,7.195,6.92,7.08,565700
2024-10-25,6.84,7.03,6.84,6.89,384200
2024-10-24,6.89,6.91,6.78,6.82,675700
2024-10-23,7.05,7.12,6.83,6.89,505100
2024-10-22,6.88,7.18,6.83,7.055,1223900
2024-10-21,6.76,6.84,6.674,6.73,523400
2024-10-18,6.72,6.885,6.685,6.77,1156700
2024-10-17,6.79,6.8,6.46,6.51,1189300
2024-10-16,6.85,6.91,6.82,6.87,558000
2024-10-15,7.12,7.125,6.76,6.81,1110100
2024-10-14,7.36,7.39,7.18,7.19,774800
2024-10-11,7.2,7.42,7.195,7.38,692900
2024-10-10,7.41,7.485,7.25,7.27,818600
2024-10-09,7.52,7.595,7.355,7.36,1199200
2024-10-08,7.2,7.8,7.18,7.67,3667900
2024-10-07,7.8,7.95,7.77,7.86,2148500
2024-10-04,7.68,7.75,7.615,7.73,2027400
2024-10-03,7.54,7.7,7.38,7.59,1899300
2024-10-02,8.17,8.19,7.535,7.78,3573900
2024-10-01,7.61,7.86,7.51,7.86,1740600
2024-09-30,7.66,7.88,7.545,7.61,2652000
2024-09-27,7.26,7.515,7.17,7.41,2403800
2024-09-26,7.5,7.5,6.96,7.2,3623400
2024-09-25,7.06,7.11,6.94,6.95,1631300
2024-09-24,6.8,7.2,6.7,7.15,1781100
2024-09-23,6.45,6.6,6.42,6.5,1568900
2024-09-20,6.49,6.535,6.38,6.39,657900
2024-09-19,6.5,6.54,6.43,6.48,883400
