datetime,open,high,low,close,volume
2025-04-01,0.0001,0.0001,0.0001,0.0001,920491
2025-03-31,0.0001,0.0001,0.0001,0.0001,0
2025-03-28,0.0001,0.0001,0.0001,0.0001,0
2025-03-27,0.0001,0.0001,0.0001,0.0001,0
2025-03-26,0.0001,0.0001,0.0001,0.0001,0
2025-03-25,0.0001,0.0001,0.0001,0.0001,0
2025-03-24,0.0001,0.0001,0.0001,0.0001,0
2025-03-21,0.0001,0.0001,0.0001,0.0001,0
2025-03-20,0.0001,0.0001,0.0001,0.0001,0
2025-03-19,0.0001,0.0001,0.0001,0.0001,0
2025-03-18,0.0001,0.0001,0.0001,0.0001,0
2025-03-17,0.0001,0.0001,0.0001,0.0001,0
2025-03-14,0.0001,0.0001,0.0001,0.0001,0
2025-03-13,0.0001,0.0001,0.0001,0.0001,0
2025-03-12,0.0001,0.0001,0.0001,0.0001,0
2025-03-11,0.0001,0.0001,0.0001,0.0001,0
2025-03-10,0.0001,0.0001,0.0001,0.0001,13375
2025-03-07,0.0001,0.0001,0.0001,0.0001,0
2025-03-06,0.0001,0.0001,0.0001,0.0001,0
2025-03-05,0.0001,0.0001,0.0001,0.0001,0
2025-03-04,0.0001,0.0001,0.0001,0.0001,0
2025-03-03,0.0001,0.0001,0.0001,0.0001,0
2025-02-28,0.0001,0.0001,0.0001,0.0001,0
2025-02-27,0.0001,0.0001,0.0001,0.0001,0
2025-02-26,0.0001,0.0001,0.0001,0.0001,0
2025-02-25,0.0001,0.0001,0.0001,0.0001,0
2025-02-24,0.0001,0.0001,0.0001,0.0001,0
2025-02-21,0.0001,0.0001,0.0001,0.0001,0
2025-02-20,0.0001,0.0001,0.0001,0.0001,0
2025-02-19,0.0001,0.0001,0.0001,0.0001,0
2025-02-18,0.0001,0.0001,0.0001,0.0001,0
2025-02-14,0.0001,0.0001,0.0001,0.0001,0
2025-02-13,0.0001,0.0001,0.0001,0.0001,0
2025-02-12,0.0001,0.0001,0.0001,0.0001,0
2025-02-11,0.0001,0.0001,0.0001,0.0001,0
2025-02-10,0.0001,0.0001,0.0001,0.0001,0
2025-02-07,0.0001,0.0001,0.0001,0.0001,0
2025-02-06,0.0001,0.0001,0.0001,0.0001,920491
2025-02-05,0.0001,0.0001,0.0001,0.0001,0
2025-02-04,0.0001,0.0001,0.0001,0.0001,0
2025-02-03,0.0001,0.0001,0.0001,0.0001,0
2025-01-31,0.0001,0.0001,0.0001,0.0001,0
2025-01-30,0.0001,0.0001,0.0001,0.0001,0
2025-01-29,0.0001,0.0001,0.0001,0.0001,0
2025-01-28,0.0001,0.0001,0.0001,0.0001,0
2025-01-27,0.0001,0.0001,0.0001,0.0001,0
2025-01-24,0.0001,0.0001,0.0001,0.0001,0
2025-01-23,0.0001,0.0001,0.0001,0.0001,0
2025-01-22,0.0001,0.0001,0.0001,0.0001,0
2025-01-21,0.0001,0.0001,0.0001,0.0001,0
2025-01-17,0.0001,0.0001,0.0001,0.0001,0
2025-01-16,0.0001,0.0001,0.0001,0.0001,821917
2025-01-15,0.0001,0.0001,0.0001,0.0001,0
2025-01-14,0.0001,0.0001,0.0001,0.0001,0
2025-01-13,0.0001,0.0001,0.0001,0.0001,0
2025-01-10,0.0001,0.0001,0.0001,0.0001,0
2025-01-08,0.0001,0.0001,0.0001,0.0001,0
2025-01-07,0.0001,0.0001,0.0001,0.0001,0
2025-01-06,0.0001,0.0001,0.0001,0.0001,0
2025-01-03,0.0001,0.0001,0.0001,0.0001,0
2025-01-02,0.0001,0.0001,0.0001,0.0001,0
2024-12-31,0.0001,0.0001,0.0001,0.0001,17269
2024-12-30,0.0001,0.0001,0.0001,0.0001,24465
2024-12-27,0.0001,0.0001,0.0001,0.0001,0
2024-12-26,0.0001,0.0001,0.0001,0.0001,0
2024-12-24,0.0001,0.0001,0.0001,0.0001,0
2024-12-23,0.0001,0.0001,0.0001,0.0001,0
2024-12-20,0.0001,0.0001,0.0001,0.0001,0
2024-12-19,0.0001,0.0001,0.0001,0.0001,0
2024-12-18,0.0001,0.0001,0.0001,0.0001,0
2024-12-17,0.0001,0.0001,0.0001,0.0001,0
2024-12-16,0.0001,0.0001,0.0001,0.0001,0
2024-12-13,0.0001,0.0001,0.0001,0.0001,0
2024-12-12,0.0001,0.0001,0.0001,0.0001,7987
2024-12-11,0.0001,0.0001,0.0001,0.0001,785
2024-12-10,0.0002,0.0002,0.0002,0.0002,0
2024-12-09,0.0002,0.0002,0.0002,0.0002,0
2024-12-06,0.0002,0.0002,0.0002,0.0002,0
2024-12-05,0.0002,0.0002,0.0002,0.0002,0
2024-12-04,0.0002,0.0002,0.0002,0.0002,0
2024-12-03,0.0002,0.0002,0.0002,0.0002,0
2024-12-02,0.0002,0.0002,0.0002,0.0002,0
2024-11-29,0.0002,0.0002,0.0002,0.0002,0
2024-11-27,0.0002,0.0002,0.0002,0.0002,0
2024-11-26,0.0002,0.0002,0.0002,0.0002,0
2024-11-25,0.0002,0.0002,0.0002,0.0002,0
2024-11-22,0.0002,0.0002,0.0002,0.0002,0
2024-11-21,0.0002,0.0002,0.0002,0.0002,0
2024-11-20,0.0002,0.0002,0.0002,0.0002,0
2024-11-19,0.0002,0.0002,0.0002,0.0002,0
2024-11-18,0.0002,0.0002,0.0002,0.0002,0
2024-11-15,0.0002,0.0002,0.0002,0.0002,0
2024-11-14,0.0002,0.0002,0.0002,0.0002,0
2024-11-13,0.0002,0.0002,0.0002,0.0002,0
2024-11-12,0.0002,0.0002,0.0002,0.0002,0
2024-11-11,0.0002,0.0002,0.0002,0.0002,0
2024-11-08,0.0002,0.0002,0.0002,0.0002,218
2024-11-07,0.0002,0.0002,0.0002,0.0002,493
2024-11-06,0.0001,0.0002,0.0001,0.0002,1888
2024-11-05,0.0002,0.0002,0.0002,0.0002,0
2024-11-04,0.0002,0.0002,0.0002,0.0002,0
2024-11-01,0.0002,0.0002,0.0002,0.0002,0
2024-10-31,0.0002,0.0002,0.0002,0.0002,287
2024-10-30,0.0002,0.0002,0.0002,0.0002,349
2024-10-29,0.0001,0.0002,0.0001,0.0001,1416
2024-10-28,0.0001,0.0001,0.0001,0.0001,0
2024-10-25,0.0001,0.0001,0.0001,0.0001,349
2024-10-24,0.0001,0.0002,0.0001,0.0002,399
2024-10-23,0.0004,0.0004,0.0004,0.0004,35200
