datetime,open,high,low,close,volume
2025-04-01,9.4,9.72,9.14,9.66,882000
2025-03-31,9.33,9.59,9.22,9.39,450400
2025-03-28,9.85,9.89,9.38,9.5,539100
2025-03-27,9.91,9.93,9.64,9.83,403400
2025-03-26,10.14,10.21,9.81,9.89,441500
2025-03-25,10.08,10.29,9.99,10.18,502700
2025-03-24,10.06,10.14,9.84,10.08,365000
2025-03-21,9.78,9.99,9.74,9.92,636900
2025-03-20,9.34,9.88,9.34,9.87,669100
2025-03-19,9.4,9.59,9.36,9.4,424900
2025-03-18,9.52,9.67,9.35,9.44,633600
2025-03-17,9.0,9.84,9.0,9.59,442800
2025-03-14,9.2,9.28,8.95,9.01,241000
2025-03-13,9.33,9.4,9.11,9.12,365100
2025-03-12,9.17,9.44,9.02,9.4,533000
2025-03-11,8.4,9.15,8.27,9.12,802900
2025-03-10,8.96,8.97,8.31,8.37,769400
2025-03-07,9.36,9.5,9.09,9.1,555700
2025-03-06,9.21,9.49,9.02,9.41,460900
2025-03-05,9.48,9.58,9.2,9.36,309200
2025-03-04,9.19,9.62,9.08,9.41,347300
2025-03-03,9.3,9.69,9.25,9.32,554100
2025-02-28,9.41,9.57,9.23,9.29,622800
2025-02-27,9.6,9.77,9.39,9.44,714000
2025-02-26,9.92,10.09,9.56,9.61,1146000
2025-02-25,10.06,10.12,9.65,9.86,609100
2025-02-24,10.29,10.42,10.08,10.08,398900
2025-02-21,10.67,10.78,10.18,10.33,356600
2025-02-20,10.88,10.92,10.55,10.59,315300
2025-02-19,10.39,11.07,10.33,10.88,413300
2025-02-18,10.24,10.45,10.13,10.43,484400
2025-02-14,10.57,10.63,10.29,10.34,196200
2025-02-13,10.55,10.6,10.18,10.53,321200
2025-02-12,10.64,10.82,10.46,10.46,320500
2025-02-11,10.75,10.84,10.61,10.78,337000
2025-02-10,11.0,11.0,10.68,10.85,481900
2025-02-07,11.05,11.16,11.0,11.04,344300
2025-02-06,10.92,11.21,10.82,11.1,443100
2025-02-05,10.97,11.09,10.77,10.89,373500
2025-02-04,11.05,11.38,10.97,10.98,492200
2025-02-03,11.27,11.54,10.95,11.04,664300
2025-01-31,12.4,12.59,11.05,11.41,1313200
2025-01-30,12.65,13.5,12.43,12.46,1554900
2025-01-29,12.51,12.99,12.35,12.46,922000
2025-01-28,12.22,12.57,12.05,12.51,943700
2025-01-27,12.17,12.94,11.94,12.22,1485300
2025-01-24,12.36,12.46,12.08,12.19,371700
2025-01-23,11.96,12.52,11.84,12.45,542800
2025-01-22,11.9,12.18,11.78,12.06,687400
2025-01-21,12.33,12.43,11.84,11.94,442900
2025-01-17,12.72,12.76,12.11,12.43,551600
2025-01-16,12.17,12.96,12.03,12.77,1020500
2025-01-15,12.2,12.33,11.65,12.17,702600
2025-01-14,12.54,12.66,11.78,11.8,1149000
2025-01-13,11.61,12.58,11.52,12.46,1259400
2025-01-10,12.82,12.82,12.0,12.3,2225700
2025-01-08,11.76,13.13,11.5,12.94,4428200
2025-01-07,9.3,9.63,9.13,9.4,908500
2025-01-06,9.13,9.4,9.09,9.27,565100
2025-01-03,9.02,9.12,8.91,9.08,313000
2025-01-02,9.21,9.21,8.76,8.98,440200
2024-12-31,9.1,9.33,9.04,9.16,416100
2024-12-30,8.98,9.4,8.75,9.05,373700
2024-12-27,8.97,9.06,8.71,8.91,218300
2024-12-26,8.67,9.06,8.64,9.01,358800
2024-12-24,8.65,8.85,8.59,8.69,126200
2024-12-23,8.89,8.89,8.6,8.86,293200
2024-12-20,8.52,8.96,8.52,8.89,568000
2024-12-19,9.18,9.18,8.45,8.58,445400
2024-12-18,9.32,9.39,8.85,8.93,621500
2024-12-17,9.28,9.58,9.04,9.26,643700
2024-12-16,9.08,9.5,9.06,9.33,669800
2024-12-13,9.17,9.17,8.92,9.0,475300
2024-12-12,9.06,9.29,8.88,9.18,498100
2024-12-11,8.89,9.24,8.8,9.11,628200
2024-12-10,8.69,9.04,8.38,8.89,908300
2024-12-09,7.44,9.42,7.44,8.63,4027400
2024-12-06,7.12,7.15,6.92,7.0,152500
2024-12-05,7.11,7.11,6.94,7.1,311600
2024-12-04,7.12,7.2,7.03,7.14,292700
2024-12-03,7.13,7.13,6.97,7.1,270100
2024-12-02,6.96,7.19,6.91,7.14,293200
2024-11-29,7.04,7.08,6.91,6.93,178800
2024-11-27,7.05,7.12,6.98,7.02,210600
2024-11-26,6.99,7.03,6.88,6.99,250900
2024-11-25,6.9,7.05,6.83,6.99,480900
2024-11-22,7.0,7.04,6.79,6.83,389700
2024-11-21,6.81,6.96,6.71,6.95,328000
2024-11-20,6.74,6.88,6.69,6.74,501000
2024-11-19,6.88,6.98,6.63,6.72,405100
2024-11-18,6.74,6.92,6.7,6.88,335300
2024-11-15,6.88,6.91,6.72,6.81,477400
2024-11-14,6.99,7.1,6.82,6.85,520500
2024-11-13,7.22,7.33,6.98,6.99,332400
