datetime,open,high,low,close,volume
2025-04-01,76.37,76.88,75.75,76.45,3152300
2025-03-31,75.25,76.72,75.24,76.5,3590400
2025-03-28,77.67,77.99,75.55,75.9,3781800
2025-03-27,77.81,78.18,77.24,77.58,3251600
2025-03-26,78.55,79.39,77.67,77.85,3833100
2025-03-25,78.55,80.52,78.47,78.82,5214900
2025-03-24,77.29,78.03,76.87,77.94,4603700
2025-03-21,76.41,76.95,75.5,76.42,9505300
2025-03-20,78.05,78.25,76.28,77.21,5402100
2025-03-19,79.84,80.26,79.13,79.66,3562000
2025-03-18,80.0,80.0,78.79,79.58,2584000
2025-03-17,78.99,80.53,78.77,80.02,2862400
2025-03-14,78.95,79.26,78.1,79.12,3754000
2025-03-13,79.38,79.65,77.79,78.34,3601100
2025-03-12,82.06,82.19,79.14,79.5,4801000
2025-03-11,83.53,83.78,81.9,82.47,4363600
2025-03-10,83.41,87.03,83.03,84.0,9940000
2025-03-07,82.66,83.58,81.6,83.23,5748000
2025-03-06,84.04,84.14,82.71,83.56,3732900
2025-03-05,83.5,84.61,83.15,84.29,3245200
2025-03-04,83.48,84.5,82.63,83.74,5145500
2025-03-03,83.84,84.34,82.95,83.51,3099200
2025-02-28,84.24,84.45,82.34,83.33,5554300
2025-02-27,84.2,84.9,83.92,83.99,4637200
2025-02-26,84.6,85.17,83.93,84.15,2622100
2025-02-25,84.34,85.1,83.88,84.84,3506700
2025-02-24,85.45,85.45,84.41,84.55,8623500
2025-02-21,87.54,87.54,84.74,84.87,6337000
2025-02-20,88.13,88.13,86.94,87.54,2911200
2025-02-19,88.25,88.52,87.54,88.43,2759400
2025-02-18,89.85,90.0,88.04,88.77,7779100
2025-02-14,89.84,90.82,89.34,90.7,4370000
2025-02-13,88.3,89.63,87.77,89.58,2542900
2025-02-12,86.93,88.4,86.88,88.08,2869800
2025-02-11,86.79,88.06,86.56,87.87,3192600
2025-02-10,87.02,87.45,86.31,86.96,4727600
2025-02-07,87.28,87.35,85.8,86.2,3909300
2025-02-06,84.19,87.61,83.35,87.09,6345100
2025-02-05,81.84,83.87,81.84,83.6,4783300
2025-02-04,82.39,83.97,82.39,83.54,3640600
2025-02-03,81.96,83.32,81.44,82.9,3389300
2025-01-31,82.84,83.4,82.49,82.61,2647700
2025-01-30,82.0,83.47,81.79,82.76,4444100
2025-01-29,81.05,81.69,80.77,81.19,1662800
2025-01-28,80.75,81.37,80.04,80.96,2555700
2025-01-27,79.5,81.33,79.36,81.12,3127800
2025-01-24,79.5,80.38,79.41,80.05,1257400
2025-01-23,79.02,79.94,78.42,79.68,2182500
2025-01-22,78.3,79.11,77.84,79.05,2562400
2025-01-21,78.03,78.87,77.55,78.45,3384900
2025-01-17,78.69,78.7,77.24,77.81,3580400
2025-01-16,77.4,77.64,76.26,77.43,2995100
