datetime,open,high,low,close,volume
2025-04-01,11.21,12.1,10.9,11.38,7500
2025-03-31,11.97,12.2,10.65,11.2,23100
2025-03-28,10.73,12.48,10.4,11.45,14200
2025-03-27,10.75,10.75,10.04,10.54,2300
2025-03-26,10.75,10.75,10.53,10.55,3200
2025-03-25,10.75,10.75,10.54,10.73,2900
2025-03-24,10.35,10.95,10.045,10.75,10300
2025-03-21,9.4,10.53,9.4,10.35,4700
2025-03-20,9.45,10.01,9.3,9.556,3600
2025-03-19,9.9,9.9,9.9,9.9,1800
2025-03-18,9.82,10.0,9.51,9.51,2800
2025-03-17,9.75,10.15,9.69,10.0,1700
2025-03-14,10.0,10.21,9.8,10.0,3900
2025-03-13,9.99,10.34,9.8,10.34,3800
2025-03-12,10.0,10.21,9.65,9.96,9200
2025-03-11,10.24,10.4,10.0,10.2,3000
2025-03-10,10.38,10.38,10.06,10.2,2600
2025-03-07,10.58,10.58,9.669,9.962,1200
2025-03-06,10.02,10.5,9.75,10.245,4600
2025-03-05,10.12,10.78,9.8,10.78,9300
2025-03-04,10.58,11.019,10.11,10.11,22500
2025-03-03,10.76,11.36,10.319,10.42,4600
2025-02-28,10.1,10.9,10.1,10.53,2300
2025-02-27,10.2,10.2,10.1,10.1,700
2025-02-26,10.09,10.26,10.0,10.26,2900
2025-02-25,10.5,10.785,10.0,10.39,3600
2025-02-24,10.79,11.14,10.3,10.65,1700
2025-02-21,10.83,10.83,10.354,10.45,2600
2025-02-20,11.37,11.575,10.879,11.1,42900
2025-02-19,11.45,11.65,11.27,11.48,6600
2025-02-18,11.68,11.96,11.55,11.55,4600
2025-02-14,11.3,12.52,11.1,12.0,10800
2025-02-13,11.06,11.3,10.6,11.3,14200
2025-02-12,11.24,11.24,10.5,10.83,8300
2025-02-11,11.2,11.25,10.54,11.24,10300
2025-02-10,11.0,11.0,10.75,11.0,5600
2025-02-07,10.46,11.0,9.86,11.0,5600
2025-02-06,10.45,11.25,10.45,10.55,4400
2025-02-05,10.35,10.74,9.87,10.74,3000
2025-02-04,10.29,10.74,10.17,10.17,6300
2025-02-03,10.23,10.74,10.03,10.03,2700
2025-01-31,9.22,10.48,9.22,9.91,5600
2025-01-30,9.77,10.57,9.446,9.75,4500
2025-01-29,9.58,10.54,9.58,10.0,5900
2025-01-28,9.6,10.01,9.37,10.01,10200
2025-01-27,8.94,9.64,8.92,9.64,5900
2025-01-24,9.1,9.2,8.9,9.15,4200
2025-01-23,9.0,9.13,8.985,9.13,4100
2025-01-22,9.25,9.25,8.815,8.99,6800
2025-01-21,9.05,9.25,8.814,9.19,5000
2025-01-17,9.18,9.25,8.5,8.804,3400
2025-01-16,8.7,9.22,8.57,8.8,23600
2025-01-15,8.81,9.24,8.51,8.7,3800
2025-01-14,8.51,9.1,8.51,8.99,2200
2025-01-13,8.81,9.09,8.55,8.55,5800
2025-01-10,8.68,9.1,8.68,9.09,1600
2025-01-08,8.85,9.08,8.67,8.84,3000
2025-01-07,8.84,9.01,8.84,8.99,2400
2025-01-06,9.09,9.09,8.625,9.02,7700
2025-01-03,8.54,9.09,8.54,8.99,2200
2025-01-02,8.835,8.9,8.53,8.677,2200
2024-12-31,9.06,9.06,8.49,8.49,11700
2024-12-30,8.54,9.22,8.37,9.0,9900
2024-12-27,8.59,9.22,8.5,8.869,14900
2024-12-26,8.36,8.91,8.15,8.7,16100
2024-12-24,8.555,8.82,8.46,8.82,1200
2024-12-23,8.34,8.82,8.037,8.45,3600
2024-12-20,8.39,8.69,8.02,8.69,4200
2024-12-19,8.38,8.89,8.372,8.71,2600
2024-12-18,8.73,8.89,8.51,8.73,3400
2024-12-17,7.96,8.99,7.96,8.96,2500
2024-12-16,9.15,9.15,8.03,9.03,3700
2024-12-13,8.32,8.65,8.05,8.65,4500
2024-12-12,8.41,8.81,8.227,8.408,2300
2024-12-11,8.0,8.5,7.98,8.235,6300
2024-12-10,8.11,8.55,7.89,8.235,1300
2024-12-09,8.19,8.57,8.19,8.38,2400
2024-12-06,8.12,8.445,8.12,8.445,2900
2024-12-05,8.4,8.55,8.376,8.412,2600
2024-12-04,8.609,8.609,8.32,8.58,2700
2024-12-03,8.02,8.499,8.02,8.218,4200
2024-12-02,8.32,8.6,8.32,8.535,3200
2024-11-29,8.45,8.6,8.4,8.6,2500
2024-11-27,8.5,8.71,8.5,8.71,1200
2024-11-26,8.67,8.929,8.612,8.929,3200
2024-11-25,8.71,9.23,8.6,8.6,6300
2024-11-22,8.62,9.0,8.62,8.7,2600
2024-11-21,8.7,8.865,8.7,8.73,1400
2024-11-20,8.78,8.99,8.6,8.73,9200
2024-11-19,8.69,9.28,8.62,8.99,4800
2024-11-18,8.807,8.807,8.807,8.807,400
2024-11-15,8.62,8.84,8.62,8.772,1600
2024-11-14,8.716,8.716,8.62,8.63,800
2024-11-13,8.6,8.961,8.54,8.65,2000
2024-11-12,8.64,8.94,8.64,8.64,2200
2024-11-11,8.64,8.98,8.64,8.72,3500
2024-11-08,8.87,8.87,8.83,8.83,1000
2024-11-07,8.76,8.9,8.7,8.7,2300
2024-11-06,8.9,8.9,8.76,8.88,1800
2024-11-05,8.66,8.98,8.66,8.9,9100
2024-11-04,9.05,9.05,8.67,8.9,8300
2024-11-01,8.63,9.015,8.63,9.015,10600
2024-10-31,8.86,8.99,8.52,8.8,5700
2024-10-30,8.79,9.098,8.684,8.75,7100
2024-10-29,8.83,9.09,8.5,8.79,2700
2024-10-28,9.5,9.5,8.93,9.0,9600
2024-10-25,9.4,9.5,8.94,8.94,2400
2024-10-24,8.68,8.88,8.348,8.88,3300
2024-10-23,9.0,9.0,8.75,8.75,1300
2024-10-22,8.82,8.82,8.72,8.72,1500
2024-10-21,9.14,9.498,8.781,8.781,2000
2024-10-18,9.35,9.35,9.042,9.17,1900
2024-10-17,8.9,9.5,8.9,9.5,3000
2024-10-16,9.16,9.16,8.66,8.88,1900
2024-10-15,8.865,9.04,8.7,8.94,4000
2024-10-14,9.1,9.1,8.66,8.865,1600
2024-10-11,8.999,9.06,8.9,8.9,1300
2024-10-10,8.77,9.1,8.55,8.55,1900
2024-10-09,9.23,9.23,8.88,8.89,2900
2024-10-08,9.148,9.25,9.025,9.04,4000
2024-10-07,8.88,9.15,8.512,9.0,7400
2024-10-04,9.04,9.116,8.88,8.88,1100
2024-10-03,8.99,9.604,8.78,9.26,8000
2024-10-02,8.6,9.31,8.6,9.31,1300
2024-10-01,9.11,9.11,8.7,8.888,6600
2024-09-30,9.05,9.77,8.7,9.238,9300
2024-09-27,9.01,9.01,9.01,9.01,1000
2024-09-26,9.03,9.14,9.03,9.14,800
2024-09-25,9.35,9.524,9.0,9.03,14400
2024-09-24,9.31,9.31,9.31,9.31,400
2024-09-23,9.27,9.31,9.213,9.31,800
2024-09-20,8.86,9.7,8.551,9.7,5200
2024-09-19,9.03,9.255,9.02,9.1,1700
2024-09-18,8.98,9.533,8.692,9.0,10500
2024-09-17,9.1,9.514,8.75,8.88,11800
2024-09-16,9.35,9.605,9.06,9.38,10100
2024-09-13,9.2,9.83,9.0,9.5,14000
2024-09-12,9.19,9.48,8.83,9.19,8100
2024-09-11,8.95,9.057,8.9,9.057,1400
2024-09-10,8.85,9.35,8.615,8.615,4200
2024-09-09,8.6,9.284,8.39,8.78,17700
2024-09-06,8.79,9.47,8.67,8.94,8100
2024-09-05,8.75,9.3,8.6,9.05,7700
2024-09-04,9.57,9.57,8.75,9.0,11600
2024-09-03,9.43,9.6,8.88,9.57,7400
2024-08-30,9.15,10.46,8.98,9.72,8300
2024-08-29,9.29,9.29,8.94,8.94,3200
2024-08-28,8.53,8.83,8.25,8.56,4200
2024-08-27,9.04,9.325,8.75,8.79,1800
2024-08-26,8.94,9.15,8.53,9.15,800
2024-08-23,9.0,9.0,9.0,9.0,0
2024-08-22,9.06,9.37,9.0,9.0,1400
2024-08-21,9.28,9.44,9.03,9.21,5500
2024-08-20,9.0,9.112,9.0,9.112,800
