datetime,open,high,low,close,volume
2025-04-01,9.25,9.25,8.95,9.11,17300
2025-03-31,8.76,9.32,8.596,9.25,16100
2025-03-28,8.78,8.95,8.616,8.95,16200
2025-03-27,8.887,9.0,8.76,8.77,11300
2025-03-26,9.0,9.14,8.6,8.9,18000
2025-03-25,9.03,9.267,8.95,8.95,37100
2025-03-24,9.34,9.34,9.07,9.12,12900
2025-03-21,9.0,9.278,9.0,9.27,17300
2025-03-20,9.16,9.36,9.15,9.36,20200
2025-03-19,9.175,9.42,9.175,9.42,11600
2025-03-18,9.3,9.3,9.09,9.15,13900
2025-03-17,9.15,9.299,9.1,9.29,11200
2025-03-14,9.21,9.22,9.1,9.122,9900
2025-03-13,9.2,9.392,9.012,9.012,27100
2025-03-12,9.25,9.45,9.19,9.4,19400
2025-03-11,9.57,9.57,9.31,9.48,10700
2025-03-10,9.59,9.774,9.4,9.52,24300
2025-03-07,9.86,9.87,9.56,9.74,12100
2025-03-06,9.58,9.8,9.57,9.58,9500
2025-03-05,9.75,9.815,9.57,9.77,40100
2025-03-04,9.75,9.8,9.522,9.8,45600
2025-03-03,9.8,9.8,9.65,9.78,21900
2025-02-28,9.59,9.75,9.51,9.6,20600
2025-02-27,9.71,9.8,9.55,9.74,33800
2025-02-26,9.94,9.94,9.65,9.78,12900
2025-02-25,9.88,9.94,9.669,9.69,16100
2025-02-24,9.91,9.95,9.792,9.89,28700
2025-02-21,9.98,10.06,9.85,9.86,19200
2025-02-20,9.77,10.0,9.75,9.999,18500
2025-02-19,9.79,9.94,9.65,9.8,22400
2025-02-18,9.84,10.0,9.64,9.81,24500
2025-02-14,9.8,9.8,9.41,9.56,30600
2025-02-13,9.69,9.9,9.572,9.78,18900
2025-02-12,10.1,10.1,9.382,9.7,40400
2025-02-11,9.87,10.04,9.8,9.963,10700
2025-02-10,10.1,10.17,9.9,9.95,38700
2025-02-07,10.0,10.14,9.85,10.105,29300
2025-02-06,9.86,10.1,9.76,10.06,48000
2025-02-05,9.8,9.971,9.57,9.65,23600
2025-02-04,9.85,9.99,9.65,9.85,29300
2025-02-03,9.7,9.95,9.6,9.76,19100
2025-01-31,10.0,10.365,9.5,9.97,47400
2025-01-30,9.79,10.0,9.65,9.8,5900
2025-01-29,9.66,9.973,9.56,9.62,27900
2025-01-28,9.99,9.99,9.5,9.56,35000
2025-01-27,10.15,10.225,9.8,9.87,11300
2025-01-24,10.0,10.165,9.85,10.05,54800
2025-01-23,10.14,10.27,9.897,10.16,73000
2025-01-22,9.8,10.0,9.5,10.0,47800
2025-01-21,9.75,10.0,9.547,9.773,23300
2025-01-17,9.74,9.874,9.35,9.53,34600
2025-01-16,9.59,9.85,9.11,9.675,50300
2025-01-15,9.1,9.5,9.1,9.2,22600
2025-01-14,9.96,9.96,9.0,9.0,61400
2025-01-13,9.97,9.97,9.6,9.827,26900
2025-01-10,10.05,10.3,9.66,10.0,87100
2025-01-08,9.65,9.979,9.57,9.58,24900
2025-01-07,10.0,10.0,9.5,9.775,67100
2025-01-06,9.94,10.5,9.76,10.0,37000
2025-01-03,9.59,10.0,9.41,9.65,28800
2025-01-02,9.33,9.7,9.2,9.4,17100
2024-12-31,9.27,9.47,9.0,9.15,17300
2024-12-30,9.68,9.9,9.27,9.27,19100
2024-12-27,9.74,9.89,9.5,9.742,7700
2024-12-26,9.48,9.683,9.374,9.683,4900
2024-12-24,9.61,9.61,9.08,9.455,18400
2024-12-23,9.16,9.5,9.13,9.5,27100
2024-12-20,9.93,9.93,9.01,9.01,13400
2024-12-19,8.78,10.175,8.779,9.82,127400
2024-12-18,9.1,9.408,8.75,8.79,19500
2024-12-17,9.6,9.75,9.11,9.11,30700
2024-12-16,9.46,9.73,9.36,9.5,24000
2024-12-13,9.95,10.06,8.95,9.35,66800
2024-12-12,10.0,10.2,9.8,9.8,76400
2024-12-11,10.061,10.325,10.0,10.0,64000
2024-12-10,10.21,10.307,10.15,10.15,18500
2024-12-09,10.33,10.41,10.1,10.1,22700
2024-12-06,10.65,10.65,9.84,10.19,64500
2024-12-05,10.33,10.67,10.0,10.6,42800
2024-12-04,10.38,10.38,9.73,10.2,99100
2024-12-03,10.7,10.7,9.51,10.03,114600
2024-12-02,11.15,11.15,10.13,10.48,121300
2024-11-29,10.5,10.89,10.4,10.8,50200
2024-11-27,10.0,10.8,10.0,10.12,294800
