datetime,open,high,low,close,volume
2025-04-01,11.0,11.0,11.0,11.0,0
2025-03-31,11.0,11.0,11.0,11.0,0
2025-03-28,11.0,11.0,11.0,11.0,0
2025-03-27,11.0,11.0,11.0,11.0,0
2025-03-26,11.01,11.01,11.0,11.0,300
2025-03-25,10.82,10.82,10.82,10.82,0
2025-03-24,10.82,10.82,10.82,10.82,0
2025-03-21,10.82,10.82,10.82,10.82,0
2025-03-20,10.82,10.82,10.82,10.82,0
2025-03-19,10.82,10.82,10.82,10.82,0
2025-03-18,10.82,10.82,10.82,10.82,0
2025-03-17,10.82,10.82,10.82,10.82,0
2025-03-14,10.82,10.82,10.82,10.82,0
2025-03-13,10.82,10.82,10.82,10.82,0
2025-03-12,10.82,10.82,10.82,10.82,0
2025-03-11,10.82,10.82,10.82,10.82,0
2025-03-10,10.82,10.82,10.82,10.82,0
2025-03-07,10.82,10.82,10.82,10.82,0
2025-03-06,10.82,10.82,10.82,10.82,0
2025-03-05,10.82,10.82,10.82,10.82,0
2025-03-04,10.82,10.82,10.82,10.82,0
2025-03-03,10.82,10.82,10.82,10.82,0
2025-02-28,10.82,10.82,10.82,10.82,0
2025-02-27,10.82,10.82,10.82,10.82,0
2025-02-26,10.82,10.82,10.82,10.82,3
2025-02-25,10.82,10.82,10.82,10.82,0
2025-02-24,10.82,10.82,10.82,10.82,0
2025-02-21,10.82,10.82,10.82,10.82,0
2025-02-20,10.82,10.82,10.82,10.82,0
2025-02-19,10.82,10.82,10.82,10.82,0
2025-02-18,10.82,10.82,10.82,10.82,0
2025-02-14,10.82,10.82,10.82,10.82,0
2025-02-13,10.82,10.82,10.82,10.82,0
2025-02-12,10.82,10.82,10.82,10.82,0
2025-02-11,10.82,10.82,10.82,10.82,0
2025-02-10,10.82,10.82,10.82,10.82,0
2025-02-07,10.82,10.82,10.82,10.82,0
2025-02-06,10.82,10.82,10.82,10.82,0
2025-02-05,10.82,10.82,10.82,10.82,0
2025-02-04,10.82,10.82,10.82,10.82,0
2025-02-03,10.82,10.82,10.82,10.82,0
2025-01-31,10.82,10.82,10.82,10.82,0
2025-01-30,10.82,10.82,10.82,10.82,0
2025-01-29,10.82,10.82,10.82,10.82,0
2025-01-28,10.82,10.82,10.82,10.82,100
2025-01-27,10.98,11.0,10.98,11.0,200
2025-01-24,10.91,10.91,10.9,10.902,700
2025-01-23,11.03,11.03,10.81,10.99,3900
2025-01-22,10.81,10.81,10.81,10.81,0
2025-01-21,10.81,10.81,10.81,10.81,0
2025-01-17,10.81,10.81,10.81,10.81,0
2025-01-16,10.81,10.81,10.81,10.81,0
2025-01-15,10.81,10.81,10.81,10.81,0
2025-01-14,10.81,10.81,10.81,10.81,0
2025-01-13,10.81,10.81,10.81,10.81,0
2025-01-10,10.81,10.81,10.81,10.81,0
2025-01-08,10.81,10.81,10.81,10.81,200
2025-01-07,10.91,10.91,10.91,10.91,0
2025-01-06,10.91,10.91,10.91,10.91,0
2025-01-03,10.91,10.91,10.91,10.91,0
2025-01-02,10.91,10.91,10.91,10.91,0
2024-12-31,10.91,10.91,10.91,10.91,0
2024-12-30,10.91,10.91,10.91,10.91,0
2024-12-27,10.91,10.91,10.91,10.91,0
2024-12-26,10.91,10.91,10.91,10.91,0
2024-12-24,10.91,10.91,10.91,10.91,0
2024-12-23,10.91,10.91,10.91,10.91,0
2024-12-20,10.91,10.91,10.91,10.91,0
2024-12-19,10.91,10.91,10.91,10.91,0
2024-12-18,10.91,10.91,10.91,10.91,0
2024-12-17,10.91,10.91,10.91,10.91,100
2024-12-16,11.1,11.1,11.1,11.1,0
2024-12-13,11.1,11.1,11.1,11.1,0
2024-12-12,11.1,11.1,11.1,11.1,0
2024-12-11,11.1,11.1,11.1,11.1,0
2024-12-10,11.1,11.1,11.1,11.1,0
2024-12-09,11.1,11.1,11.1,11.1,0
