datetime,open,high,low,close,volume
2025-04-01,11.67,12.23,11.665,12.21,8059307
2025-03-31,11.22,11.75,11.22,11.62,6171600
2025-03-28,11.76,11.89,11.28,11.42,5450000
2025-03-27,11.92,12.19,11.83,11.91,5056400
2025-03-26,12.25,12.33,11.83,11.98,5638900
2025-03-25,12.8,13.06,12.23,12.24,8641300
2025-03-24,12.42,12.77,12.42,12.72,8186100
2025-03-21,11.6,12.32,11.52,12.12,10717400
2025-03-20,11.84,12.35,11.76,11.84,6144700
2025-03-19,12.09,12.12,11.78,11.91,4659900
2025-03-18,11.9,12.23,11.83,12.11,7219700
2025-03-17,11.8,12.18,11.46,12.03,14031900
2025-03-14,11.19,11.24,10.74,11.06,8813600
2025-03-13,10.99,11.79,10.92,10.98,15707500
2025-03-12,11.81,11.88,11.33,11.45,9682800
2025-03-11,12.1,12.14,11.36,11.49,6804900
2025-03-10,12.57,12.68,12.1,12.1,6070300
2025-03-07,12.27,12.9,12.17,12.83,6642000
2025-03-06,11.89,12.43,11.88,12.31,6313700
2025-03-05,11.93,12.13,11.65,12.12,5273700
2025-03-04,12.09,12.16,11.81,11.99,7464800
2025-03-03,13.3,13.31,12.22,12.29,5935600
2025-02-28,13.15,13.36,12.79,13.09,5610700
2025-02-27,13.45,13.49,13.04,13.09,3979600
2025-02-26,13.56,13.65,13.16,13.44,5372400
2025-02-25,13.97,14.07,13.31,13.36,4828200
2025-02-24,13.81,13.99,13.81,13.9,4074800
2025-02-21,14.63,14.63,13.64,13.77,3879200
2025-02-20,14.33,14.44,14.2,14.39,3249500
2025-02-19,14.55,14.62,14.34,14.44,3464900
2025-02-18,14.4,14.85,14.32,14.72,6105000
2025-02-14,14.39,14.44,14.08,14.36,2931900
2025-02-13,14.34,14.48,14.17,14.32,3018300
2025-02-12,14.29,14.35,14.11,14.2,4119300
2025-02-11,14.8,14.95,14.47,14.48,4525600
2025-02-10,15.72,15.77,14.9,14.95,6011100
2025-02-07,16.01,16.04,15.5,15.6,3771400
2025-02-06,16.0,16.23,15.85,16.05,3638800
2025-02-05,15.5,15.84,15.45,15.82,2844400
2025-02-04,15.58,15.92,15.5,15.78,2606800
2025-02-03,15.67,15.9,15.37,15.5,4038800
2025-01-31,16.54,16.68,16.0,16.14,3242100
2025-01-30,16.59,16.69,16.31,16.55,2254800
2025-01-29,16.64,16.75,16.34,16.4,3204800
2025-01-28,16.83,17.07,16.62,16.64,4259000
2025-01-27,17.19,17.35,16.67,16.78,3992900
2025-01-24,17.33,17.63,17.26,17.29,3431000
2025-01-23,17.01,17.35,17.01,17.34,2712800
2025-01-22,17.02,17.52,16.97,17.18,3704900
2025-01-21,16.65,17.33,16.6,17.24,7664600
2025-01-17,15.8,16.18,15.63,16.03,4772100
2025-01-16,16.02,16.1,15.56,15.58,5559900
2025-01-15,16.31,16.45,16.09,16.11,4305900
2025-01-14,15.56,15.97,15.49,15.92,3913300
2025-01-13,17.05,17.05,15.36,15.49,7493200
2025-01-10,16.31,16.52,15.85,16.23,5985200
2025-01-08,16.34,16.58,16.12,16.52,4618600
2025-01-07,17.2,17.4,16.6,16.72,4799300
2025-01-06,17.29,17.43,17.09,17.22,3426500
2025-01-03,17.16,17.22,16.92,17.18,3319700
