datetime,open,high,low,close,volume
2025-04-01,22.47,22.844,21.77,22.3,183700
2025-03-31,22.51,22.77,21.88,22.61,298400
2025-03-28,24.83,25.21,23.09,23.19,417700
2025-03-27,25.17,25.56,24.64,25.185,275200
2025-03-26,27.29,27.29,25.01,25.35,215200
2025-03-25,27.17,27.77,26.93,27.38,244600
2025-03-24,27.32,27.7,27.03,27.17,200700
2025-03-21,26.63,27.042,26.26,26.61,512800
2025-03-20,26.87,27.46,26.66,27.28,224700
2025-03-19,26.79,27.95,26.565,27.37,203700
2025-03-18,26.95,27.4,26.59,26.92,248600
2025-03-17,26.66,27.6,26.645,27.36,258200
2025-03-14,26.05,27.24,26.05,26.76,265500
2025-03-13,25.09,26.1,25.09,25.63,268700
2025-03-12,25.4,26.73,25.0,25.17,396200
2025-03-11,26.21,26.38,24.61,24.77,337500
2025-03-10,28.33,28.545,26.03,26.2,470500
2025-03-07,28.01,29.3,26.82,29.25,501500
2025-03-06,27.98,28.36,27.415,27.91,272600
2025-03-05,28.48,28.84,27.17,28.8,444700
2025-03-04,27.75,29.12,27.5,28.22,592300
2025-03-03,29.69,30.16,27.98,28.08,524800
2025-02-28,29.24,29.805,28.34,29.29,409800
2025-02-27,30.85,31.23,29.42,29.44,353800
2025-02-26,30.32,31.27,30.01,30.98,385300
2025-02-25,32.12,32.12,29.775,30.05,549600
2025-02-24,33.58,33.99,32.35,32.41,325000
2025-02-21,34.98,35.34,33.45,33.52,222600
2025-02-20,34.98,35.56,33.93,34.51,223700
2025-02-19,33.56,35.17,33.33,35.08,328300
2025-02-18,31.5,33.67,31.5,33.59,385700
2025-02-14,32.63,32.705,31.325,31.52,350800
2025-02-13,32.1,32.94,31.775,32.905,294600
2025-02-12,32.7,32.7,31.17,32.0,512600
2025-02-11,33.65,34.21,32.59,32.75,333100
2025-02-10,32.4,34.28,32.38,34.06,405200
2025-02-07,32.75,32.95,31.935,32.4,428300
2025-02-06,31.89,32.59,30.897,32.5,492000
2025-02-05,30.12,32.36,29.935,32.275,706500
2025-02-04,26.98,28.285,26.98,28.21,315700
2025-02-03,26.5,27.48,26.19,27.02,337500
2025-01-31,27.64,28.48,27.25,27.46,309100
2025-01-30,27.89,28.625,27.42,27.69,238800
2025-01-29,27.3,27.64,26.8,27.2,318200
2025-01-28,26.77,27.613,26.48,26.92,274300
2025-01-27,28.43,28.57,25.95,26.81,404400
2025-01-24,29.44,29.759,28.88,29.29,246100
2025-01-23,29.36,29.82,28.68,29.42,341400
2025-01-22,30.73,31.56,29.79,29.96,296300
2025-01-21,30.95,31.22,30.48,30.64,184500
2025-01-17,32.36,32.36,30.68,30.84,234300
2025-01-16,31.7,33.23,31.01,31.95,216800
2025-01-15,31.98,32.48,30.43,30.62,340300
2025-01-14,30.75,31.02,30.035,31.0,189300
2025-01-13,30.0,31.14,29.635,30.56,328100
2025-01-10,31.94,32.13,31.29,32.0,119000
2025-01-08,32.82,32.85,32.06,32.68,109800
2025-01-07,34.15,34.29,33.08,33.24,147800
2025-01-06,33.51,34.54,33.405,33.71,199300
2025-01-03,32.46,32.97,31.835,32.87,255800
2025-01-02,32.36,33.5,31.93,32.29,192700
2024-12-31,31.0,32.29,31.0,32.22,290500
2024-12-30,30.95,31.29,30.37,31.0,139500
2024-12-27,31.81,31.81,30.615,31.37,128700
2024-12-26,30.77,32.03,30.67,31.89,102000
2024-12-24,30.92,31.15,30.65,31.04,52400
2024-12-23,29.96,31.28,29.96,30.89,185600
2024-12-20,29.41,31.74,29.36,29.8,649700
2024-12-19,31.12,31.14,29.39,29.92,302700
2024-12-18,32.24,33.55,30.94,31.23,326700
2024-12-17,32.51,33.06,31.28,31.73,348000
2024-12-16,32.24,33.035,32.055,32.54,209100
2024-12-13,33.35,33.76,32.231,32.35,151700
2024-12-12,33.03,33.435,32.27,33.35,130200
2024-12-11,33.05,33.8,32.65,33.1,208700
2024-12-10,33.4,33.47,32.35,32.57,339100
2024-12-09,33.43,34.409,33.14,33.27,238700
2024-12-06,33.23,33.6,33.09,33.33,238300
2024-12-05,34.56,34.56,32.76,32.89,184400
2024-12-04,36.07,36.48,34.63,34.98,291300
2024-12-03,35.4,35.63,34.867,35.36,418800
2024-12-02,33.35,35.644,33.11,35.4,322000
