datetime,open,high,low,close,volume
2025-01-23,157.63,157.94,155.62,156.00999,5979800
2025-01-22,157.67999,158.44,156.27,156.41,7232200
2025-01-21,161.14999,161.39999,157.49001,158.24001,10131400
2025-01-17,159.13,161.77,158.8,161.47,9260400
2025-01-16,158.03,159.89999,158.03,159.38,5578900
2025-01-15,156.88,158.69,156.38,158.33,7900000
2025-01-14,155.21001,156.91,154.46001,156.89999,6830200
2025-01-13,154.10001,157.35001,154.0,155.35001,11774100
2025-01-10,153.41,154.34,150.87,153.14,11074700
2025-01-08,148.03999,151.17999,148.03,150.3,7640900
2025-01-07,148.50999,150.5,147.63,149.59,7736000
2025-01-06,148.39999,150.33,146.87,147.25999,5888700
2025-01-03,147.53999,148.5,147.3,147.85001,5809000
2025-01-02,145.48,148.07001,145.48,146.71001,7170300
2024-12-31,143.52,145.34,143.32001,144.84,6137800
2024-12-30,143.78999,143.98,142.35001,143.07001,6194800
2024-12-27,144.28999,145.71001,143.39,144.0,5296500
2024-12-26,143.67,144.31,142.89999,143.98,4492600
2024-12-24,143.10001,144.03999,142.25999,143.84,3556100
2024-12-23,142.48,143.35001,141.53999,142.97,8156500
2024-12-20,140.82001,142.85001,140.55,142.85001,32209200
2024-12-19,144.57001,144.75999,140.95,141.14999,16544300
2024-12-18,147.75999,148.67,143.98,144.08,10174500
2024-12-17,148.0,148.64999,146.91,148.11,11909300
2024-12-16,153.89,153.89,149.25,149.36,11961200
2024-12-13,154.87,154.96001,153.07001,153.87,5816200
2024-12-12,155.87,156.53,154.27,154.71001,7621500
2024-12-11,156.86,157.17,155.8,156.21001,13764700
2024-12-10,159.06,159.52,156.7,157.0,9126200
2024-12-09,157.0,160.08,156.82001,157.08,9404500
2024-12-06,158.75,158.83,155.17,155.24001,9701700
2024-12-05,159.28999,160.67,158.69,159.33,6358400
2024-12-04,161.83,161.84,157.86,158.32001,7862700
2024-12-03,162.98,163.2,161.39,161.92,5900100
2024-12-02,162.28999,162.95,160.11,162.21001,6229600
2024-11-29,162.25,162.75,160.66,161.92999,5077000
2024-11-27,162.75999,164.67999,161.61,162.11,7674500
2024-11-26,162.31,162.94,161.39999,162.53,7369500
2024-11-25,162.14999,163.17,159.83,160.36,10702400
2024-11-22,161.50999,162.61,161.14999,162.36,7005900
2024-11-21,162.02,162.64999,161.28999,161.63,7945200
2024-11-20,159.91,161.44,159.78,161.33,6391300
2024-11-19,159.98,160.42999,158.75,159.60001,4657400
2024-11-18,160.56,161.52,159.07001,160.75999,6092100
2024-11-15,161.52,162.38,160.75999,161.42,9022800
2024-11-14,159.84,161.83,159.67999,161.8,10111200
2024-11-13,156.07001,159.02,154.53,158.72,8824000
2024-11-12,157.3,157.47,155.12,155.28999,5681900
2024-11-11,157.14,157.94,155.89999,156.5,7771700
2024-11-08,156.60001,157.58,155.67,156.92999,6041500
2024-11-07,157.94,158.00999,156.39999,156.77,8143200
2024-11-06,157.10001,158.61,156.12,157.72,12118900
2024-11-05,154.53,154.67,152.55,153.41,5978900
2024-11-04,154.42,154.42,152.62,153.97,6130000
2024-11-01,152.48,155.92999,151.7,153.07001,11728000
2024-10-31,148.75999,149.57001,147.89,148.82001,8400900
2024-10-30,149.08,149.64999,147.66,148.05,5784000
2024-10-29,150.03999,150.42,147.87,148.52,6014700
2024-10-28,148.25,150.7,148.16,150.53999,8892000
2024-10-25,151.39,152.12,150.46001,150.81,6839900
2024-10-24,151.13,151.45,149.38,150.45,5474300
2024-10-23,150.36,151.0,149.28999,150.48,5248600
2024-10-22,151.25,151.67999,150.22,150.92,4416400
2024-10-21,152.0,152.48,150.49001,150.88,5074000
2024-10-18,150.82001,151.08,149.38,150.75,5208200
2024-10-17,149.25999,151.33,148.97,151.2,6593100
2024-10-16,148.35001,149.03,148.21001,148.73,4303700
2024-10-15,148.8,149.96001,147.56,147.73,6704600
2024-10-14,150.52,151.89999,150.17999,151.78,4214700
2024-10-11,150.38,152.33,150.25,151.42,5051300
2024-10-10,150.67999,151.55,149.85001,150.62,4420900
2024-10-09,147.50999,150.37,147.36,149.64999,4973500
2024-10-08,149.2,149.60001,147.73,148.75,5892700
2024-10-07,151.5,152.75,150.69,151.12,5895900
2024-10-04,152.48,152.5,150.14,150.74001,7892400
2024-10-03,151.31,152.17,150.02,151.25,6553300
2024-10-02,151.67999,152.28,149.25999,150.95,8105400
2024-10-01,146.35001,150.52,145.45,149.7,9489100
2024-09-30,145.37,147.48,144.28,147.27,7491700
2024-09-27,142.98,145.77,142.84,145.49001,8049200
2024-09-26,140.89999,143.22,140.63,141.99001,8046200
2024-09-25,146.95,147.41,143.5,143.97,7888400
2024-09-24,148.88,149.10001,146.91,147.45,6014200
2024-09-23,146.25,148.42,145.95,147.53999,6960600
2024-09-20,145.23,145.91,143.44,145.67999,23162900
2024-09-19,145.81,146.78,144.92999,144.99001,7247400
2024-09-18,143.32001,145.60001,143.19,143.96001,6180300
2024-09-17,141.8,144.14,141.74001,143.41,7338800
2024-09-16,141.69,143.17,141.07001,142.09,6864300
2024-09-13,139.87,141.53,139.71001,140.61,5900700
2024-09-12,138.23,139.47,137.42,139.21001,6593400
2024-09-11,138.21001,138.48,135.37,137.88,9534000
2024-09-10,140.89999,141.08,137.09,138.23,8202500
2024-09-09,138.64,142.02,138.53999,140.3,9892300
2024-09-06,141.07001,142.11,137.87,138.56,7836400
2024-09-05,143.17,143.17,140.60001,140.92999,9371100
2024-09-04,144.64,145.53,141.67,142.07001,9820700
2024-09-03,145.55,145.77,144.28,144.66,7944700
2024-08-30,146.22,148.08,145.7,147.95,6414800
2024-08-29,146.46001,148.17999,145.44,147.42,4466700
2024-08-28,146.44,147.14,145.48,146.0,5614400
2024-08-27,148.67,149.55,146.74001,146.95,5100000
2024-08-26,148.97,150.09,147.55,148.5,5780300
2024-08-23,146.53,148.09,146.32001,147.62,4824100
2024-08-22,145.35001,146.33,145.13,145.73,4027000
2024-08-21,145.42999,146.64,144.55,145.32001,5985000
2024-08-20,146.33,146.50999,144.56,144.69,7497600
2024-08-19,146.00999,147.73,145.89,146.83,5967400
2024-08-16,146.05,147.62,145.64,147.27,6874400
2024-08-15,145.59,147.52,145.48,146.8,6304200
2024-08-14,144.39,145.24001,143.42999,144.67,5874200
2024-08-13,144.08,144.55,143.05,144.14999,7794800
2024-08-12,145.84,146.74001,139.69,145.02,8442200
2024-08-09,144.21001,146.11,143.19,144.99001,7653100
2024-08-08,143.07001,144.82001,142.71001,144.49001,7531100
2024-08-07,144.58,145.73,142.28,142.41,8867900
2024-08-06,144.49001,145.09,143.12,143.23,9692700
2024-08-05,145.52,145.77,143.41,144.66,13037200
2024-08-02,151.13,152.03999,147.02,148.55,13278600
2024-08-01,158.71001,159.5,152.03,152.62,16689900
2024-07-31,161.69,161.69,160.05,160.47,6209200
2024-07-30,156.46001,160.09,156.44,159.57001,5740900
2024-07-29,158.25,158.25,154.86,156.60001,5072000
2024-07-26,157.73,159.03999,157.06,157.84,5232500
2024-07-25,155.37,158.25999,154.62,157.53999,5432100
2024-07-24,154.69,155.7,153.42,155.07001,5971700
2024-07-23,156.35001,156.60001,153.84,154.09,6238700
2024-07-22,158.22,158.98,156.85001,156.99001,5577300
2024-07-19,162.48,162.7,158.41,159.14999,6427700
2024-07-18,161.23,164.28,160.24001,161.97,6577700
2024-07-17,158.5,161.48,158.28999,161.23,7296600
2024-07-16,157.00999,158.31,156.14999,157.77,6924200
2024-07-15,156.95,159.52,156.37,158.03999,5661200
2024-07-12,156.16,156.44,154.56,155.59,6446300
2024-07-11,155.0,156.67999,154.22,155.25999,8322500
2024-07-10,152.5,155.44,152.3,155.13,5416600
2024-07-09,153.0,154.75999,152.35001,152.98,5301600
2024-07-08,153.32001,155.28,153.32001,154.33,4990700
2024-07-05,156.55,156.55,153.67999,154.31,6183100
2024-07-03,156.94,157.74001,156.56,156.71001,3264200
2024-07-02,157.67999,157.72,155.45,156.75,7216800
2024-07-01,157.16,158.7,155.98,156.52,5584100
2024-06-28,157.52,158.58,156.17,156.42,11283400
2024-06-27,156.7,156.94,155.64,156.32001,5568700
2024-06-26,158.46001,158.46001,155.78999,155.95,8637800
2024-06-25,159.12,159.36,157.67,158.46001,6056700
2024-06-24,156.27,159.53999,156.19,159.31,7971600
2024-06-21,156.8,157.67,155.22,155.28,21292100
2024-06-20,153.71001,157.41,153.25,156.64,8336000
2024-06-18,153.55,155.95,152.84,153.33,6942900
2024-06-17,152.5,153.92999,151.92999,153.19,6321400
2024-06-14,153.13,153.28999,151.97,152.57001,6159100
2024-06-13,153.77,154.09,152.23,152.84,6163000
2024-06-12,157.49001,157.63,152.39999,154.22,10017400
2024-06-11,156.17,156.75,154.48,156.49001,5132000
2024-06-10,156.41,158.2,156.32001,156.74001,7075900
2024-06-07,155.71001,157.69,155.13,156.08,5887700
2024-06-06,154.5,156.02,153.39,155.92999,5215100
2024-06-05,156.16,157.02,154.53,154.98,7058500
2024-06-04,155.72,156.35001,154.11,156.13,6360500
2024-06-03,161.49001,161.67999,156.46001,157.46001,9009900
2024-05-31,158.63,162.58,158.50999,162.3,10334200
2024-05-30,156.85001,158.46001,156.81,158.25999,6371200
2024-05-29,158.02,158.49001,156.44,156.89999,5909600
2024-05-28,158.12,159.42,157.95,159.03999,6928300
2024-05-24,158.08,158.97,157.3,157.75,4476600
2024-05-23,157.92,158.60001,156.33,156.94,6718400
2024-05-22,159.52,159.52,156.52,157.57001,6260500
2024-05-21,160.58,161.46001,159.74001,159.97,4783300
2024-05-20,162.72,163.0,161.07001,161.14,4913800
2024-05-17,161.75,162.97,161.19,162.67,5497900
2024-05-16,161.53,162.0,160.48,161.09,6409400
2024-05-15,163.13,163.8,160.17,163.05,7603100
2024-05-14,164.34,165.2,163.02,163.61,4924000
2024-05-13,166.48,166.91,162.98,164.53,6848300
2024-05-10,166.03999,166.42,165.02,165.82001,5490900
2024-05-09,163.02,165.50999,162.73,165.45,6683300
2024-05-08,161.95,163.08,161.53999,162.53999,6706400
2024-05-07,162.31,163.14999,162.02,162.67,6869900
2024-05-06,160.73,164.02,160.73,162.3,8430300
2024-05-03,160.66,160.66,157.03999,160.25,11664500
2024-05-02,160.41,161.78,159.89,160.73,8597100
2024-05-01,160.78,161.45,158.89999,159.63,7713700
2024-04-30,165.97,166.12,160.95,161.27,8457300
2024-04-29,165.91,167.11,164.69,166.33,6364000
2024-04-26,165.23,166.98,163.3,165.89,9736400
2024-04-25,163.7,165.60001,162.67,165.28,9702600
2024-04-24,161.88,163.84,161.45,163.57001,7610300
2024-04-23,161.31,162.85001,160.60001,162.85001,5597600
2024-04-22,159.95,162.7,158.44,161.92,6779200
2024-04-19,158.75,160.75,158.14999,160.0,7733100
2024-04-18,157.14,158.03999,156.39,157.57001,4979200
2024-04-17,155.99001,157.71001,155.64,156.39999,6733900
2024-04-16,157.3,157.81,155.42,156.28,5541900
2024-04-15,159.94,160.49001,157.36,157.59,7236900
2024-04-12,162.28999,163.87,158.03999,158.96001,11058800
2024-04-11,163.62,163.62,159.8,161.89,7682500
2024-04-10,162.21001,162.77,161.00999,162.67,7525800
2024-04-09,161.85001,162.53,160.46001,162.0,6577400
2024-04-08,161.64999,162.5,160.33,161.27,7253200
2024-04-05,161.33,162.17,159.86,161.60001,7429800
2024-04-04,160.8,161.95,159.82001,160.69,9269700
2024-04-03,160.10001,160.95,159.72,160.44,7819700
2024-04-02,160.05,161.22,159.02,159.78,8815400
