datetime,open,high,low,close,volume
2025-04-01,67.35,68.73,66.62,68.42,491000
2025-03-31,67.49,68.14,66.9,67.83,371600
2025-03-28,68.36,68.68,67.48,68.08,428700
2025-03-27,68.13,68.91,67.62,68.7,415800
2025-03-26,68.22,68.94,67.86,68.44,244500
2025-03-25,68.37,68.56,67.64,68.06,331800
2025-03-24,67.49,68.41,67.24,68.26,426800
2025-03-21,66.33,66.65,65.29,66.6,2455900
2025-03-20,67.2,67.87,66.48,66.88,430100
2025-03-19,67.57,68.11,66.42,67.84,488000
2025-03-18,66.93,67.56,66.58,67.4,387700
2025-03-17,67.31,68.17,67.07,67.46,380200
2025-03-14,66.7,67.48,65.37,67.35,515300
2025-03-13,66.04,67.06,65.4,66.46,551000
2025-03-12,67.67,67.67,65.31,66.47,1220700
2025-03-11,68.7,69.77,66.44,67.27,951100
2025-03-10,65.33,65.33,62.01,62.52,840600
2025-03-07,65.01,66.16,64.62,65.78,417300
2025-03-06,64.16,65.71,63.89,65.22,389200
2025-03-05,63.99,65.01,63.55,64.8,431100
2025-03-04,63.44,65.06,63.43,64.01,405100
2025-03-03,65.49,66.17,63.58,63.78,373100
2025-02-28,64.4,65.78,64.4,65.65,405300
2025-02-27,64.46,64.97,64.14,64.4,439500
2025-02-26,64.79,65.68,64.17,64.94,382700
2025-02-25,64.76,65.65,64.62,65.02,370600
2025-02-24,64.55,65.61,63.92,65.03,334900
2025-02-21,66.42,66.65,63.76,64.4,422400
2025-02-20,66.36,66.7,65.7,65.83,233000
2025-02-19,65.43,66.82,65.43,66.69,357000
2025-02-18,66.73,66.98,65.74,66.35,254400
2025-02-14,66.99,67.32,66.57,66.87,325100
2025-02-13,66.9,66.97,66.45,66.61,318100
2025-02-12,66.96,67.02,66.17,66.39,380700
2025-02-11,67.33,68.39,67.33,68.18,196200
2025-02-10,67.41,68.37,67.32,67.69,260300
2025-02-07,68.08,68.29,66.66,66.96,244000
2025-02-06,69.72,69.74,68.08,68.22,237100
2025-02-05,70.24,70.36,69.11,69.54,274200
2025-02-04,69.78,70.36,69.46,69.8,242800
2025-02-03,69.55,70.37,68.7,70.06,293100
2025-01-31,71.39,71.67,70.25,70.73,245500
2025-01-30,71.54,71.91,69.98,71.6,260100
2025-01-29,71.53,71.99,70.38,70.84,315900
2025-01-28,71.15,71.9,70.93,71.39,186400
2025-01-27,70.66,71.73,70.66,71.2,252100
2025-01-24,69.95,70.87,69.55,70.7,199300
2025-01-23,70.47,70.8,69.78,70.18,278400
2025-01-22,70.91,71.85,70.45,70.51,232900
2025-01-21,71.72,72.04,71.1,71.21,422600
2025-01-17,70.6,70.82,70.21,70.74,522200
2025-01-16,69.6,70.75,69.51,69.76,339400
2025-01-15,69.64,69.65,68.63,69.48,268700
2025-01-14,67.44,68.7,67.27,68.14,312600
2025-01-13,65.0,67.3,64.52,67.16,304000
2025-01-10,64.86,65.9,64.53,65.42,291200
2025-01-08,65.78,66.27,65.05,66.08,304300
2025-01-07,67.34,67.56,65.74,66.28,258600
2025-01-06,67.95,68.65,66.93,67.04,508500
2025-01-03,66.94,68.05,66.49,68.03,249300
2025-01-02,68.05,68.12,66.27,66.81,203900
2024-12-31,67.2,67.86,66.85,67.45,383900
2024-12-30,67.02,67.54,66.13,67.01,233100
2024-12-27,67.64,68.35,66.52,67.39,235700
2024-12-26,67.11,68.51,67.11,68.26,198300
2024-12-24,66.99,67.67,66.54,67.6,147400
2024-12-23,66.53,67.24,66.08,66.96,358000
2024-12-20,65.51,67.11,65.51,66.56,1095500
2024-12-19,67.66,67.89,66.25,66.6,269000
2024-12-18,69.79,70.07,66.51,66.96,499600
2024-12-17,69.32,70.47,68.73,69.34,686000
2024-12-16,69.94,70.85,69.69,70.2,447100
2024-12-13,70.1,70.75,69.8,70.11,362700
2024-12-12,71.06,71.45,70.06,70.33,421200
2024-12-11,72.0,72.61,71.18,71.19,605000
2024-12-10,71.99,72.6,70.68,71.93,440100
2024-12-09,71.92,73.09,70.19,72.52,537600
2024-12-06,72.76,73.33,70.76,71.56,569800
2024-12-05,73.88,75.0,71.99,72.08,757400
2024-12-04,78.41,79.17,78.1,78.65,411400
2024-12-03,78.59,78.59,77.68,77.96,335600
2024-12-02,78.55,79.16,77.81,78.6,386000
2024-11-29,78.89,78.97,78.2,78.34,184800
